Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
1,1,22-10-2019 19:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,130,122,Toronto Raptors,
2,1,22-10-2019 21:30,Staples Center,LA Clippers,Los Angeles Lakers,112,102,LA Clippers,
3,1,23-10-2019 18:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,126,125,Charlotte Hornets,
4,1,23-10-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,110,119,Detroit Pistons,
5,1,23-10-2019 18:00,Amway Center,Orlando Magic,Cleveland Cavaliers,94,85,Orlando Magic,
6,1,23-10-2019 18:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,126,127,Minnesota Timberwolves,
7,1,23-10-2019 18:30,American Airlines Arena,Miami Heat,Memphis Grizzlies,120,101,Miami Heat,
8,1,23-10-2019 18:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,107,93,Philadelphia 76ers,
9,1,23-10-2019 19:30,American Airlines Center,Dallas Mavericks,Washington Wizards,108,100,Dallas Mavericks,
10,1,23-10-2019 19:30,AT&T Center,San Antonio Spurs,New York Knicks,120,111,San Antonio Spurs,
11,1,23-10-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,100,95,Utah Jazz,
12,1,23-10-2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,124,95,Phoenix Suns,
13,1,23-10-2019 21:00,Moda Center,Portland Trail Blazers,Denver Nuggets,100,108,Denver Nuggets,
14,1,24-10-2019 18:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,100,117,Atlanta Hawks,
15,1,24-10-2019 19:00,Toyota Center,Houston Rockets,Milwaukee Bucks,111,117,Milwaukee Bucks,
16,1,24-10-2019 21:30,Chase Center,Golden State Warriors,LA Clippers,122,141,LA Clippers,
17,1,25-10-2019 18:00,TD Garden,Boston Celtics,Toronto Raptors,112,106,Boston Celtics,
18,1,25-10-2019 18:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,99,121,Minnesota Timberwolves,
19,1,25-10-2019 18:30,Barclays Center,Brooklyn Nets,New York Knicks,113,109,Brooklyn Nets,
20,1,25-10-2019 19:00,FedExForum,Memphis Grizzlies,Chicago Bulls,102,110,Chicago Bulls,
21,1,25-10-2019 19:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,116,123,Dallas Mavericks,
22,1,25-10-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,85,97,Washington Wizards,
23,1,25-10-2019 20:00,Pepsi Center,Denver Nuggets,Phoenix Suns,108,107,Denver Nuggets,
24,1,25-10-2019 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,81,113,Portland Trail Blazers,
25,1,25-10-2019 21:30,Staples Center,Los Angeles Lakers,Utah Jazz,95,86,Los Angeles Lakers,
26,1,26-10-2019 16:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,126,131,Miami Heat,
27,1,26-10-2019 18:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111,117,Philadelphia 76ers,
28,1,26-10-2019 18:30,State Farm Arena,Atlanta Hawks,Orlando Magic,103,99,Atlanta Hawks,
29,1,26-10-2019 18:30,Madison Square Garden,New York Knicks,Boston Celtics,95,118,Boston Celtics,
30,1,26-10-2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,110,99,Cleveland Cavaliers,
31,1,26-10-2019 19:00,United Center,Chicago Bulls,Toronto Raptors,84,108,Toronto Raptors,
32,1,26-10-2019 19:00,Toyota Center,Houston Rockets,New Orleans Pelicans,126,123,Houston Rockets,
33,1,26-10-2019 19:30,AT&T Center,San Antonio Spurs,Washington Wizards,124,122,San Antonio Spurs,
34,1,26-10-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,113,81,Utah Jazz,
35,1,26-10-2019 21:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,130,122,Phoenix Suns,
36,1,27-10-2019 14:30,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,120,92,Oklahoma City Thunder,
37,1,27-10-2019 17:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,134,133,Memphis Grizzlies,
38,1,27-10-2019 18:00,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,119,121,Portland Trail Blazers,
39,1,27-10-2019 18:00,Target Center,Minnesota Timberwolves,Miami Heat,116,109,Minnesota Timberwolves,
40,1,27-10-2019 20:30,Staples Center,Los Angeles Lakers,Charlotte Hornets,120,101,Los Angeles Lakers,
41,1,28-10-2019 18:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,96,94,Detroit Pistons,
42,1,28-10-2019 18:00,Madison Square Garden,New York Knicks,Chicago Bulls,105,98,New York Knicks,
43,1,28-10-2019 18:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,103,105,Philadelphia 76ers,
44,1,28-10-2019 18:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,104,95,Toronto Raptors,
45,1,28-10-2019 19:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,116,112,Houston Rockets,
46,1,28-10-2019 19:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,129,112,Milwaukee Bucks,
47,1,28-10-2019 19:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,123,134,Golden State Warriors,
48,1,28-10-2019 19:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,113,110,San Antonio Spurs,
49,1,28-10-2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,95,96,Utah Jazz,
50,1,28-10-2019 21:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,94,101,Denver Nuggets,
51,1,28-10-2019 21:30,Staples Center,LA Clippers,Charlotte Hornets,111,96,LA Clippers,
52,1,29-10-2019 18:30,American Airlines Arena,Miami Heat,Atlanta Hawks,112,97,Miami Heat,
53,1,29-10-2019 20:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,106,109,Dallas Mavericks,
54,1,29-10-2019 21:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,120,91,Los Angeles Lakers,
55,1,30-10-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,117,111,Cleveland Cavaliers,
56,1,30-10-2019 18:00,Amway Center,Orlando Magic,New York Knicks,95,83,Orlando Magic,
