Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,18-10-2022 18:30,TD Garden,Boston Celtics,Philadelphia 76ers,126,117,Boston Celtics
2,1,18-10-2022 21:00,Chase Center,Golden State Warriors,Los Angeles Lakers,123,109,Golden State Warriors
3,1,19-10-2022 18:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,113,109,Detroit Pistons
4,1,19-10-2022 18:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,107,114,Washington Wizards
5,1,19-10-2022 18:30,State Farm Arena,Atlanta Hawks,Houston Rockets,117,107,Atlanta Hawks
6,1,19-10-2022 18:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,108,130,New Orleans Pelicans
7,1,19-10-2022 18:30,Miami-Dade Arena,Miami Heat,Chicago Bulls,108,116,Chicago Bulls
8,1,19-10-2022 18:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,108,105,Toronto Raptors
9,1,19-10-2022 18:30,FedExForum,Memphis Grizzlies,New York Knicks,115,112,Memphis Grizzlies
10,1,19-10-2022 19:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,115,108,Minnesota Timberwolves
11,1,19-10-2022 19:00,AT&T Center,San Antonio Spurs,Charlotte Hornets,102,129,Charlotte Hornets
12,1,19-10-2022 20:00,Vivint Arena,Utah Jazz,Denver Nuggets,123,102,Utah Jazz
13,1,19-10-2022 21:00,Footprint Center,Phoenix Suns,Dallas Mavericks,107,105,Phoenix Suns
14,1,19-10-2022 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,108,115,Portland Trail Blazers
15,1,20-10-2022 18:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,88,90,Milwaukee Bucks
16,1,20-10-2022 21:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,97,103,LA Clippers
17,1,21-10-2022 18:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,112,124,New Orleans Pelicans
18,1,21-10-2022 18:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,134,137,San Antonio Spurs
19,1,21-10-2022 18:00,Capital One Arena,Washington Wizards,Chicago Bulls,102,100,Washington Wizards
20,1,21-10-2022 18:30,State Farm Arena,Atlanta Hawks,Orlando Magic,108,98,Atlanta Hawks
21,1,21-10-2022 18:30,Barclays Center,Brooklyn Nets,Toronto Raptors,109,105,Brooklyn Nets
