Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
2,1,01-10-2022 08:00,South East Melbourne Phoenix,Tasmania JackJumpers,84,79,South East Melbourne Phoenix
1,1,01-10-2022 10:00,Illawarra Hawks,Sydney Kings,97,106,Sydney Kings
3,1,02-10-2022 03:00,Melbourne United,New Zealand Breakers,101,97,Melbourne United
4,1,02-10-2022 05:00,Perth Wildcats,Brisbane Bullets,87,73,Perth Wildcats
5,1,03-10-2022 08:30,Tasmania JackJumpers,Cairns Taipans,84,106,Cairns Taipans
8,2,06-10-2022 08:30,Illawarra Hawks,South East Melbourne Phoenix,85,72,Illawarra Hawks
9,2,07-10-2022 06:30,New Zealand Breakers,Tasmania JackJumpers,71,65,New Zealand Breakers
10,2,07-10-2022 08:30,Sydney Kings,Brisbane Bullets,100,90,Sydney Kings
11,2,08-10-2022 06:30,South East Melbourne Phoenix,Cairns Taipans,76,85,Cairns Taipans
12,2,08-10-2022 09:00,Perth Wildcats,Illawarra Hawks,77,71,Perth Wildcats
13,2,09-10-2022 03:00,Tasmania JackJumpers,Brisbane Bullets,90,86,Tasmania JackJumpers
6,2,09-10-2022 05:00,Melbourne United,Sydney Kings,71,91,Sydney Kings
7,2,10-10-2022 08:30,Cairns Taipans,Perth Wildcats,76,103,Perth Wildcats
14,3,13-10-2022 08:30,Adelaide 36ers,Tasmania JackJumpers,72,97,Tasmania JackJumpers
15,3,14-10-2022 08:30,Sydney Kings,Cairns Taipans,78,83,Cairns Taipans
16,3,14-10-2022 10:30,Perth Wildcats,Melbourne United,81,84,Melbourne United
21,3,15-10-2022 06:30,Adelaide 36ers,Illawarra Hawks,90,80,Adelaide 36ers
17,3,15-10-2022 09:00,South East Melbourne Phoenix,New Zealand Breakers,77,85,New Zealand Breakers
18,3,16-10-2022 03:00,Melbourne United,Tasmania JackJumpers,64,74,Tasmania JackJumpers
19,3,16-10-2022 05:00,Brisbane Bullets,Sydney Kings,85,102,Sydney Kings
20,3,17-10-2022 08:30,Illawarra Hawks,New Zealand Breakers,62,88,New Zealand Breakers
22,4,20-10-2022 06:30,New Zealand Breakers,South East Melbourne Phoenix,77,99,South East Melbourne Phoenix
23,4,20-10-2022 08:30,Melbourne United,Cairns Taipans,77,81,Cairns Taipans
24,4,21-10-2022 08:30,Sydney Kings,Adelaide 36ers,88,92,Adelaide 36ers
