Match Number,Round Number,Date,Home Team,Away Team,Result,,
1,1,19-09-2024 10:30,Melbourne United,Tasmania JackJumpers,88,79,Melbourne United
2,1,20-09-2024 10:30,Perth Wildcats,South East Melbourne Phoenix,106,98,Perth Wildcats
3,1,21-09-2024 08:00,New Zealand Breakers,Brisbane Bullets,91,87,New Zealand Breakers
4,1,21-09-2024 10:30,Cairns Taipans,Illawarra Hawks,75,102,Illawarra Hawks
5,1,22-09-2024 04:30,Adelaide 36ers,Sydney Kings,94,102,Sydney Kings
6,2,26-09-2024 09:30,South East Melbourne Phoenix,Melbourne United,84,96,Melbourne United
7,2,27-09-2024 09:30,Illawarra Hawks,Brisbane Bullets,113,101,Illawarra Hawks
8,2,27-09-2024 11:30,Perth Wildcats,Sydney Kings,87,88,Sydney Kings
9,2,28-09-2024 07:30,Cairns Taipans,Adelaide 36ers,101,97,Cairns Taipans
10,2,28-09-2024 10:00,Tasmania JackJumpers,Melbourne United,81,72,Tasmania JackJumpers
11,2,29-09-2024 04:30,Sydney Kings,Illawarra Hawks,89,96,Illawarra Hawks
12,2,29-09-2024 06:30,New Zealand Breakers,South East Melbourne Phoenix,81,79,New Zealand Breakers
13,3,03-10-2024 09:30,Adelaide 36ers,South East Melbourne Phoenix,93,83,Adelaide 36ers
14,3,04-10-2024 09:30,Cairns Taipans,Tasmania JackJumpers,90,78,Cairns Taipans
15,3,04-10-2024 11:30,Perth Wildcats,Melbourne United,68,97,Melbourne United
16,3,05-10-2024 07:30,Illawarra Hawks,Adelaide 36ers,100,102,Adelaide 36ers
17,3,05-10-2024 10:00,Brisbane Bullets,Sydney Kings,82,91,Sydney Kings
18,3,06-10-2024 03:30,Melbourne United,Cairns Taipans,88,101,Cairns Taipans
19,3,06-10-2024 05:30,Tasmania JackJumpers,Perth Wildcats,84,79,Tasmania JackJumpers
20,4,10-10-2024 08:30,Cairns Taipans,Perth Wildcats,87,90,Perth Wildcats
21,4,11-10-2024 08:30,Adelaide 36ers,Sydney Kings,89,79,Adelaide 36ers
22,4,12-10-2024 06:30,Illawarra Hawks,Tasmania JackJumpers,109,76,Illawarra Hawks
23,4,12-10-2024 09:00,South East Melbourne Phoenix,Brisbane Bullets,85,87,Brisbane Bullets
24,4,13-10-2024 03:30,Sydney Kings,Cairns Taipans,99,73,Sydney Kings
25,4,13-10-2024 05:30,Melbourne United,Adelaide 36ers,106,79,Melbourne United
26,5,17-10-2024 08:30,Brisbane Bullets,New Zealand Breakers,84,73,Brisbane Bullets
27,5,18-10-2024 08:30,Tasmania JackJumpers,Sydney Kings,71,80,Sydney Kings
28,5,19-10-2024 06:30,New Zealand Breakers,Perth Wildcats,89,85,New Zealand Breakers
29,5,19-10-2024 09:00,Cairns Taipans,Illawarra Hawks,75,87,Illawarra Hawks
30,5,20-10-2024 03:30,Melbourne United,South East Melbourne Phoenix,84,93,South East Melbourne Phoenix
31,5,20-10-2024 05:30,Adelaide 36ers,Tasmania JackJumpers,77,73,Adelaide 36ers
32,6,24-10-2024 06:30,New Zealand Breakers,South East Melbourne Phoenix,62,88,South East Melbourne Phoenix
33,6,24-10-2024 08:30,Illawarra Hawks,Melbourne United,87,92,Melbourne United
34,6,25-10-2024 08:30,Adelaide 36ers,Cairns Taipans,99,93,Adelaide 36ers
35,6,25-10-2024 10:30,Perth Wildcats,Sydney Kings,87,84,Perth Wildcats
36,6,26-10-2024 06:30,South East Melbourne Phoenix,Illawarra Hawks,82,88,Illawarra Hawks
37,6,26-10-2024 09:00,Brisbane Bullets,Tasmania JackJumpers,79,87,Tasmania JackJumpers
38,6,27-10-2024 03:30,Sydney Kings,New Zealand Breakers,89,93,New Zealand Breakers
39,6,27-10-2024 05:30,Melbourne United,Cairns Taipans,106,63,Melbourne United
40,7,31-10-2024 08:30,Melbourne United,Sydney Kings,87,83,Melbourne United
41,7,01-11-2024 08:30,Tasmania JackJumpers,South East Melbourne Phoenix,77,79,South East Melbourne Phoenix
42,7,01-11-2024 10:30,Perth Wildcats,Illawarra Hawks,113,105,Perth Wildcats
43,7,02-11-2024 06:30,New Zealand Breakers,Adelaide 36ers,109,82,New Zealand Breakers
44,7,02-11-2024 09:00,Cairns Taipans,Brisbane Bullets,88,92,Brisbane Bullets
45,7,03-11-2024 03:30,South East Melbourne Phoenix,Perth Wildcats,100,76,South East Melbourne Phoenix
46,7,03-11-2024 05:30,Sydney Kings,Tasmania JackJumpers,88,60,Sydney Kings
47,7,04-11-2024 08:30,Melbourne United,New Zealand Breakers,79,113,New Zealand Breakers
48,8,07-11-2024 08:30,Brisbane Bullets,Melbourne United,103,120,Melbourne United
49,8,07-11-2024 10:30,Perth Wildcats,Tasmania JackJumpers,88,82,Perth Wildcats
50,8,08-11-2024 08:30,Sydney Kings,South East Melbourne Phoenix,74,69,Sydney Kings
51,8,09-11-2024 06:30,Tasmania JackJumpers,New Zealand Breakers,83,64,Tasmania JackJumpers
52,8,09-11-2024 09:00,Melbourne United,Perth Wildcats,106,97,Melbourne United
53,8,10-11-2024 03:30,South East Melbourne Phoenix,Cairns Taipans,97,74,South East Melbourne Phoenix
54,8,10-11-2024 05:30,Adelaide 36ers,Illawarra Hawks,93,79,Adelaide 36ers
55,9,15-11-2024 08:30,Tasmania JackJumpers,Brisbane Bullets,95,92,Tasmania JackJumpers
