Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/09/2025 09:30,MyState Bank Arena,Tasmania JackJumpers,Melbourne United,84 - 88
2,1,19/09/2025 07:30,Spark Arena,New Zealand Breakers,Brisbane Bullets,95 - 104
3,1,20/09/2025 07:30,John Cain Arena,South East Melbourne Phoenix,Cairns Taipans,
4,1,20/09/2025 10:00,RAC Arena,Perth Wildcats,Tasmania JackJumpers,
5,1,21/09/2025 04:30,John Cain Arena,Melbourne United,New Zealand Breakers,
6,2,25/09/2025 09:30,John Cain Arena,Melbourne United,South East Melbourne Phoenix,
7,2,26/09/2025 09:30,Cairns Convention Centre,Cairns Taipans,Brisbane Bullets,
8,2,27/09/2025 07:30,Spark Arena,New Zealand Breakers,Perth Wildcats,
9,2,27/09/2025 10:00,WIN Entertainment Centre,Illawarra Hawks,Tasmania JackJumpers,
10,2,28/09/2025 04:30,Qudos Bank Arena,Sydney Kings,Cairns Taipans,
11,2,28/09/2025 06:30,Adelaide Entertainment Centre,Adelaide 36ers,Brisbane Bullets,
12,3,02/10/2025 09:30,Cairns Convention Centre,Cairns Taipans,Adelaide 36ers,
13,3,02/10/2025 11:30,RAC Arena,Perth Wildcats,Illawarra Hawks,
14,3,04/10/2025 07:30,Qudos Bank Arena,Sydney Kings,New Zealand Breakers,
15,3,04/10/2025 10:00,Brisbane Entertainment Centre,Brisbane Bullets,Tasmania JackJumpers,
16,4,08/10/2025 06:30,Spark Arena,New Zealand Breakers,Illawarra Hawks,
17,4,08/10/2025 08:30,Qudos Bank Arena,Sydney Kings,Melbourne United,
18,4,09/10/2025 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Tasmania JackJumpers,
19,4,10/10/2025 08:30,Cairns Convention Centre,Cairns Taipans,Perth Wildcats,
20,4,11/10/2025 06:30,WIN Entertainment Centre,Illawarra Hawks,Brisbane Bullets,
21,4,11/10/2025 09:00,Adelaide Entertainment Centre,Adelaide 36ers,Sydney Kings,
22,4,12/10/2025 03:30,Spark Arena,New Zealand Breakers,South East Melbourne Phoenix,
23,4,12/10/2025 05:30,John Cain Arena,Melbourne United,Cairns Taipans,
24,5,15/10/2025 08:30,MyState Bank Arena,Tasmania JackJumpers,Sydney Kings,
25,5,15/10/2025 10:30,RAC Arena,Perth Wildcats,Brisbane Bullets,
26,5,16/10/2025 08:30,Adelaide Entertainment Centre,Adelaide 36ers,South East Melbourne Phoenix,
27,5,17/10/2025 06:30,Spark Arena,New Zealand Breakers,Tasmania JackJumpers,
28,5,17/10/2025 08:30,Brisbane Entertainment Centre,Brisbane Bullets,Melbourne United,
29,5,18/10/2025 06:30,Cairns Convention Centre,Cairns Taipans,Adelaide 36ers,
30,5,18/10/2025 09:00,John Cain Arena,South East Melbourne Phoenix,Illawarra Hawks,
31,5,19/10/2025 03:30,John Cain Arena,Melbourne United,New Zealand Breakers,
32,5,19/10/2025 05:30,Qudos Bank Arena,Sydney Kings,Perth Wildcats,
33,6,22/10/2025 08:30,Cairns Convention Centre,Cairns Taipans,Perth Wildcats,
34,6,23/10/2025 06:30,Eventfinda Stadium,New Zealand Breakers,Brisbane Bullets,
35,6,23/10/2025 08:30,John Cain Arena,South East Melbourne Phoenix,Sydney Kings,
36,6,24/10/2025 08:30,Cairns Convention Centre,Cairns Taipans,Melbourne United,
37,6,25/10/2025 06:30,Brisbane Entertainment Centre,Brisbane Bullets,South East Melbourne Phoenix,
38,6,25/10/2025 09:00,RAC Arena,Perth Wildcats,Illawarra Hawks,
39,6,26/10/2025 03:30,John Cain Arena,Melbourne United,Adelaide 36ers,
40,6,26/10/2025 05:30,Qudos Bank Arena,Sydney Kings,Tasmania JackJumpers,
41,7,29/10/2025 08:30,MyState Bank Arena,Tasmania JackJumpers,Perth Wildcats,
42,7,30/10/2025 08:30,Brisbane Entertainment Centre,Brisbane Bullets,Cairns Taipans,
43,7,31/10/2025 08:30,WIN Entertainment Centre,Illawarra Hawks,New Zealand Breakers,
44,7,01/11/2025 06:30,Silverdome,Tasmania JackJumpers,Cairns Taipans,
45,7,01/11/2025 09:00,Brisbane Entertainment Centre,Brisbane Bullets,Sydney Kings,
46,7,02/11/2025 03:30,John Cain Arena,South East Melbourne Phoenix,Perth Wildcats,
47,7,02/11/2025 05:30,Adelaide Entertainment Centre,Adelaide 36ers,Illawarra Hawks,
48,7,03/11/2025 08:30,John Cain Arena,Melbourne United,Sydney Kings,
49,8,05/11/2025 08:30,WIN Entertainment Centre,Illawarra Hawks,Melbourne United,
50,8,06/11/2025 06:30,Wolfbrook Arena,New Zealand Breakers,Adelaide 36ers,
51,8,06/11/2025 08:30,Silverdome,Tasmania JackJumpers,South East Melbourne Phoenix,
52,8,07/11/2025 08:30,Cairns Convention Centre,Cairns Taipans,Illawarra Hawks,
53,8,08/11/2025 06:30,MyState Bank Arena,Tasmania JackJumpers,Brisbane Bullets,
54,8,08/11/2025 09:00,John Cain Arena,South East Melbourne Phoenix,Melbourne United,
55,8,09/11/2025 03:30,Adelaide Entertainment Centre,Adelaide 36ers,Perth Wildcats,
56,8,09/11/2025 05:30,Qudos Bank Arena,Sydney Kings,New Zealand Breakers,
57,9,12/11/2025 08:30,Gold Coast Sport and Leisure Centre,Brisbane Bullets,New Zealand Breakers,
58,9,13/11/2025 08:30,MyState Bank Arena,Tasmania JackJumpers,Adelaide 36ers,
59,9,14/11/2025 08:30,Cairns Convention Centre,Cairns Taipans,South East Melbourne Phoenix,
60,9,15/11/2025 06:30,John Cain Arena,Melbourne United,Brisbane Bullets,
61,9,15/11/2025 09:00,RAC Arena,Perth Wildcats,New Zealand Breakers,
62,9,16/11/2025 03:30,WIN Entertainment Centre,Illawarra Hawks,Sydney Kings,
63,9,16/11/2025 05:30,Adelaide Entertainment Centre,Adelaide 36ers,Cairns Taipans,
64,10,19/11/2025 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Illawarra Hawks,
65,10,20/11/2025 08:30,Brisbane Entertainment Centre,Brisbane Bullets,South East Melbourne Phoenix,
66,10,21/11/2025 08:30,WIN Entertainment Centre,Illawarra Hawks,Melbourne United,
67,10,21/11/2025 10:30,RAC Arena,Perth Wildcats,Tasmania JackJumpers,
68,10,22/11/2025 06:30,Cairns Convention Centre,Cairns Taipans,New Zealand Breakers,
69,10,22/11/2025 09:00,John Cain Arena,South East Melbourne Phoenix,Adelaide 36ers,
70,10,23/11/2025 03:30,MyState Bank Arena,Tasmania JackJumpers,Sydney Kings,
71,10,23/11/2025 05:30,John Cain Arena,Melbourne United,Perth Wildcats,
72,11,03/12/2025 06:30,GLOBOX Arena,New Zealand Breakers,Sydney Kings,
73,11,04/12/2025 08:30,WIN Entertainment Centre,Illawarra Hawks,South East Melbourne Phoenix,
74,11,04/12/2025 10:30,RAC Arena,Perth Wildcats,Melbourne United,
75,11,05/12/2025 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Brisbane Bullets,
76,11,06/12/2025 06:30,Spark Arena,New Zealand Breakers,Tasmania JackJumpers,
77,11,06/12/2025 09:00,WIN Entertainment Centre,Illawarra Hawks,Cairns Taipans,
78,11,07/12/2025 03:30,John Cain Arena,South East Melbourne Phoenix,Melbourne United,
79,11,07/12/2025 05:30,RAC Arena,Perth Wildcats,Adelaide 36ers,
80,12,10/12/2025 08:30,Gippsland Regional Indoor Sports Stadium,South East Melbourne Phoenix,Tasmania JackJumpers,
81,12,11/12/2025 08:30,WIN Entertainment Centre,Illawarra Hawks,Brisbane Bullets,
82,12,12/12/2025 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Melbourne United,
83,12,12/12/2025 10:30,RAC Arena,Perth Wildcats,Sydney Kings,
84,12,13/12/2025 06:30,Cairns Convention Centre,Cairns Taipans,Tasmania JackJumpers,
85,12,13/12/2025 09:00,Gippsland Regional Indoor Sports Stadium,South East Melbourne Phoenix,New Zealand Breakers,
86,12,14/12/2025 03:30,John Cain Arena,Melbourne United,Sydney Kings,
87,12,14/12/2025 05:30,Brisbane Entertainment Centre,Brisbane Bullets,Perth Wildcats,
88,13,17/12/2025 08:30,TBC,Sydney Kings,Adelaide 36ers,
89,13,18/12/2025 08:30,John Cain Arena,Melbourne United,Illawarra Hawks,
90,13,18/12/2025 10:30,RAC Arena,Perth Wildcats,South East Melbourne Phoenix,
91,13,19/12/2025 08:30,Cairns Convention Centre,Cairns Taipans,New Zealand Breakers,
92,13,20/12/2025 06:30,WIN Entertainment Centre,Illawarra Hawks,Adelaide 36ers,
93,13,20/12/2025 09:00,John Cain Arena,South East Melbourne Phoenix,Brisbane Bullets,
94,13,21/12/2025 03:30,MyState Bank Arena,Tasmania JackJumpers,Perth Wildcats,
95,13,21/12/2025 05:30,Qudos Bank Arena,Sydney Kings,Cairns Taipans,
96,13,22/12/2025 08:30,Brisbane Entertainment Centre,Brisbane Bullets,New Zealand Breakers,
97,13,23/12/2025 09:00,John Cain Arena,Melbourne United,Tasmania JackJumpers,
98,14,24/12/2025 06:30,Adelaide Entertainment Centre,Adelaide 36ers,Cairns Taipans,
99,14,24/12/2025 13:00,Qudos Bank Arena,Sydney Kings,Illawarra Hawks,
100,14,26/12/2025 08:30,MyState Bank Arena,Tasmania JackJumpers,New Zealand Breakers,
101,14,27/12/2025 09:00,Brisbane Entertainment Centre,Brisbane Bullets,Melbourne United,
102,14,28/12/2025 03:30,Adelaide Entertainment Centre,Adelaide 36ers,Perth Wildcats,
103,14,29/12/2025 08:30,MyState Bank Arena,Tasmania JackJumpers,South East Melbourne Phoenix,
104,14,30/12/2025 08:30,Qudos Bank Arena,Sydney Kings,Brisbane Bullets,
105,15,31/12/2025 06:30,WIN Entertainment Centre,Illawarra Hawks,Tasmania JackJumpers,
106,15,31/12/2025 08:30,Cairns Convention Centre,Cairns Taipans,South East Melbourne Phoenix,
107,15,01/01/2026 08:30,Brisbane Entertainment Centre,Brisbane Bullets,Perth Wildcats,
108,15,02/01/2026 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Sydney Kings,
109,15,03/01/2026 06:30,WIN Entertainment Centre,Illawarra Hawks,Cairns Taipans,
110,15,03/01/2026 09:00,MyState Bank Arena,Tasmania JackJumpers,Melbourne United,
111,15,04/01/2026 03:30,Spark Arena,New Zealand Breakers,Perth Wildcats,
112,15,04/01/2026 05:30,Brisbane Entertainment Centre,Brisbane Bullets,Adelaide 36ers,
113,15,05/01/2026 08:30,Qudos Bank Arena,Sydney Kings,South East Melbourne Phoenix,
114,16,07/01/2026 08:30,TBC,Melbourne United,Cairns Taipans,
115,16,08/01/2026 08:30,State Basketball Centre,South East Melbourne Phoenix,Illawarra Hawks,
116,16,09/01/2026 06:30,Spark Arena,New Zealand Breakers,Sydney Kings,
117,16,09/01/2026 08:30,Adelaide Entertainment Centre,Adelaide 36ers,Tasmania JackJumpers,
118,16,10/01/2026 06:30,Cairns Convention Centre,Cairns Taipans,Brisbane Bullets,
119,16,10/01/2026 09:00,State Basketball Centre,South East Melbourne Phoenix,Perth Wildcats,
120,16,11/01/2026 03:30,WIN Entertainment Centre,Illawarra Hawks,New Zealand Breakers,
121,16,11/01/2026 05:30,Qudos Bank Arena,Sydney Kings,Melbourne United,
122,17,15/01/2026 10:30,RAC Arena,Sydney Kings,Brisbane Bullets,
123,17,16/01/2026 10:30,RAC Arena,Perth Wildcats,Illawarra Hawks,
124,17,17/01/2026 08:00,RAC Arena,Cairns Taipans,New Zealand Breakers,
125,17,17/01/2026 10:30,RAC Arena,Melbourne United,Tasmania JackJumpers,
126,17,18/01/2026 03:30,RAC Arena,Adelaide 36ers,South East Melbourne Phoenix,
127,18,21/01/2026 06:30,TBC,Melbourne United,Brisbane Bullets,
128,18,21/01/2026 08:30,State Basketball Centre,South East Melbourne Phoenix,New Zealand Breakers,
129,18,22/01/2026 08:30,Qudos Bank Arena,Sydney Kings,Tasmania JackJumpers,
130,18,22/01/2026 10:30,RAC Arena,Perth Wildcats,Cairns Taipans,
131,18,23/01/2026 06:30,Spark Arena,New Zealand Breakers,Adelaide 36ers,
132,18,24/01/2026 06:30,State Basketball Centre,South East Melbourne Phoenix,Cairns Taipans,
133,18,24/01/2026 09:00,MyState Bank Arena,Tasmania JackJumpers,Illawarra Hawks,
134,18,25/01/2026 03:30,Qudos Bank Arena,Sydney Kings,Adelaide 36ers,
135,18,25/01/2026 05:30,RAC Arena,Perth Wildcats,Melbourne United,
