Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,18-03-2025 10:10,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,1,4,Los Angeles Dodgers
2,1,19-03-2025 10:10,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,3,6,Los Angeles Dodgers
3,1,27-03-2025 19:05,Yankee Stadium,New York Yankees,Milwaukee Brewers,4,2,New York Yankees
4,1,27-03-2025 19:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,2,12,Baltimore Orioles
5,1,27-03-2025 20:05,Globe Life Field,Texas Rangers,Boston Red Sox,2,5,Boston Red Sox
6,1,27-03-2025 20:05,Nationals Park,Washington Nationals,Philadelphia Phillies,3,7,Philadelphia Phillies
7,1,27-03-2025 20:10,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,4,7,Cleveland Guardians
8,1,27-03-2025 20:10,Daikin Park,Houston Astros,New York Mets,3,1,Houston Astros
9,1,27-03-2025 20:10,Great American Ball Park,Cincinnati Reds,San Francisco Giants,4,6,San Francisco Giants
10,1,27-03-2025 20:10,Petco Park,San Diego Padres,Atlanta Braves,7,4,San Diego Padres
11,1,27-03-2025 20:10,Rate Field,Chicago White Sox,Los Angeles Angels,8,1,Chicago White Sox
12,1,27-03-2025 20:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,5,4,Miami Marlins
13,1,27-03-2025 20:15,Busch Stadium,St. Louis Cardinals,Minnesota Twins,5,3,St. Louis Cardinals
14,1,27-03-2025 23:10,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,5,4,Los Angeles Dodgers
15,1,28-03-2025 02:10,Chase Field,Arizona Diamondbacks,Chicago Cubs,6,10,Chicago Cubs
16,1,28-03-2025 02:10,T-Mobile Park,Seattle Mariners,Athletics,4,2,Seattle Mariners
17,1,28-03-2025 20:10,George M. Steinbrenner Field,Tampa Bay Rays,Colorado Rockies,3,2,Tampa Bay Rays
18,1,28-03-2025 23:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,8,2,Toronto Blue Jays
19,1,28-03-2025 23:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,3,4,Pittsburgh Pirates
20,1,29-03-2025 00:05,Globe Life Field,Texas Rangers,Boston Red Sox,4,1,Texas Rangers
21,1,29-03-2025 00:10,Daikin Park,Houston Astros,New York Mets,1,3,New York Mets
22,1,29-03-2025 01:40,Chase Field,Arizona Diamondbacks,Chicago Cubs,8,1,Arizona Diamondbacks
23,1,29-03-2025 01:40,T-Mobile Park,Seattle Mariners,Athletics,0,7,Athletics
24,1,29-03-2025 01:40,Petco Park,San Diego Padres,Atlanta Braves,4,3,San Diego Padres
25,1,29-03-2025 02:10,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,8,5,Los Angeles Dodgers
26,1,29-03-2025 17:05,Yankee Stadium,New York Yankees,Milwaukee Brewers,20,9,New York Yankees
27,1,29-03-2025 18:10,Rate Field,Chicago White Sox,Los Angeles Angels,0,1,Los Angeles Angels
28,1,29-03-2025 18:15,Busch Stadium,St. Louis Cardinals,Minnesota Twins,5,1,St. Louis Cardinals
29,1,29-03-2025 19:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,5,9,Baltimore Orioles
30,1,29-03-2025 20:05,Nationals Park,Washington Nationals,Philadelphia Phillies,6,11,Philadelphia Phillies
31,1,29-03-2025 20:10,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,4,3,Kansas City Royals
32,1,29-03-2025 20:10,Great American Ball Park,Cincinnati Reds,San Francisco Giants,3,2,Cincinnati Reds
33,1,29-03-2025 20:10,George M. Steinbrenner Field,Tampa Bay Rays,Colorado Rockies,1,2,Colorado Rockies
34,1,29-03-2025 20:10,loanDepot park,Miami Marlins,Pittsburgh Pirates,5,4,Miami Marlins
35,1,29-03-2025 23:05,Globe Life Field,Texas Rangers,Boston Red Sox,4,3,Texas Rangers
36,1,29-03-2025 23:15,Daikin Park,Houston Astros,New York Mets,2,1,Houston Astros
37,1,29-03-2025 23:15,Petco Park,San Diego Padres,Atlanta Braves,1,0,San Diego Padres
38,1,30-03-2025 00:10,Chase Field,Arizona Diamondbacks,Chicago Cubs,3,4,Chicago Cubs
39,1,30-03-2025 01:10,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,7,3,Los Angeles Dodgers
40,1,30-03-2025 01:40,T-Mobile Park,Seattle Mariners,Athletics,2,4,Athletics
41,1,30-03-2025 17:35,Nationals Park,Washington Nationals,Philadelphia Phillies,5,1,Washington Nationals
42,1,30-03-2025 17:35,Yankee Stadium,New York Yankees,Milwaukee Brewers,12,3,New York Yankees
43,1,30-03-2025 17:37,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,3,1,Toronto Blue Jays
44,1,30-03-2025 17:40,Great American Ball Park,Cincinnati Reds,San Francisco Giants,3,6,San Francisco Giants
45,1,30-03-2025 17:40,George M. Steinbrenner Field,Tampa Bay Rays,Colorado Rockies,6,4,Tampa Bay Rays
46,1,30-03-2025 17:40,loanDepot park,Miami Marlins,Pittsburgh Pirates,3,2,Miami Marlins
47,1,30-03-2025 18:10,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,2,6,Cleveland Guardians
48,1,30-03-2025 18:10,Rate Field,Chicago White Sox,Los Angeles Angels,2,3,Los Angeles Angels
49,1,30-03-2025 18:15,Busch Stadium,St. Louis Cardinals,Minnesota Twins,9,2,St. Louis Cardinals
50,1,30-03-2025 18:35,Globe Life Field,Texas Rangers,Boston Red Sox,3,2,Texas Rangers
51,1,30-03-2025 20:10,Chase Field,Arizona Diamondbacks,Chicago Cubs,10,6,Arizona Diamondbacks
52,1,30-03-2025 20:10,T-Mobile Park,Seattle Mariners,Athletics,2,1,Seattle Mariners
53,1,30-03-2025 23:10,Petco Park,San Diego Padres,Atlanta Braves,5,0,San Diego Padres
54,1,31-03-2025 18:10,Rate Field,Chicago White Sox,Minnesota Twins,9,0,Chicago White Sox
55,1,31-03-2025 18:10,American Family Field,Milwaukee Brewers,Kansas City Royals,1,11,Kansas City Royals
56,1,31-03-2025 18:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,8,5,Baltimore Orioles
57,1,31-03-2025 19:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,6,1,Philadelphia Phillies
58,1,31-03-2025 22:40,Great American Ball Park,Cincinnati Reds,Texas Rangers,14,3,Cincinnati Reds
59,1,31-03-2025 22:40,loanDepot park,Miami Marlins,New York Mets,4,10,New York Mets
60,1,31-03-2025 23:05,George M. Steinbrenner Field,Tampa Bay Rays,Pittsburgh Pirates,6,1,Tampa Bay Rays
61,1,31-03-2025 23:07,Rogers Centre,Toronto Blue Jays,Washington Nationals,5,2,Toronto Blue Jays
62,1,31-03-2025 23:45,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,4,5,Los Angeles Angels
63,1,04-01-2025 0:10:0,Daikin Park,Houston Astros,San Francisco Giants,2,7,San Francisco Giants
64,1,04-01-2025 1:40:0,Petco Park,San Diego Padres,Cleveland Guardians,7,2,San Diego Padres
65,1,04-01-2025 1:40:0,T-Mobile Park,Seattle Mariners,Detroit Tigers,6,9,Detroit Tigers
66,1,04-01-2025 2:5:0,Sutter Health Park,Athletics,Chicago Cubs,3,18,Chicago Cubs
67,1,04-01-2025 2:10:0,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,6,1,Los Angeles Dodgers
68,1,04-01-2025 22:40:0,Great American Ball Park,Cincinnati Reds,Texas Rangers,0,1,Texas Rangers
69,1,04-01-2025 22:40:0,loanDepot park,Miami Marlins,New York Mets,4,2,Miami Marlins
70,1,04-01-2025 23:5:0,George M. Steinbrenner Field,Tampa Bay Rays,Pittsburgh Pirates,7,0,Tampa Bay Rays
71,1,04-01-2025 23:5:0,Yankee Stadium,New York Yankees,Arizona Diamondbacks,5,7,Arizona Diamondbacks
72,1,04-01-2025 23:7:0,Rogers Centre,Toronto Blue Jays,Washington Nationals,5,3,Toronto Blue Jays
73,1,04-01-2025 23:40:0,Rate Field,Chicago White Sox,Minnesota Twins,3,8,Minnesota Twins
74,1,04-01-2025 23:40:0,American Family Field,Milwaukee Brewers,Kansas City Royals,5,0,Milwaukee Brewers
75,1,04-01-2025 23:45:0,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,7,9,Los Angeles Angels
76,1,04-02-2025 0:10:0,Daikin Park,Houston Astros,San Francisco Giants,1,3,San Francisco Giants
77,1,04-02-2025 1:40:0,Petco Park,San Diego Padres,Cleveland Guardians,7,0,San Diego Padres
78,1,04-02-2025 1:40:0,T-Mobile Park,Seattle Mariners,Detroit Tigers,1,4,Detroit Tigers
79,1,04-02-2025 2:5:0,Sutter Health Park,Athletics,Chicago Cubs,4,7,Chicago Cubs
80,1,04-02-2025 2:10:0,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,3,1,Los Angeles Dodgers
81,2,04-02-2025 16:40:0,Great American Ball Park,Cincinnati Reds,Texas Rangers,0,1,Texas Rangers
82,2,04-02-2025 17:10:0,George M. Steinbrenner Field,Tampa Bay Rays,Pittsburgh Pirates,2,4,Pittsburgh Pirates
83,2,04-02-2025 17:10:0,American Family Field,Milwaukee Brewers,Kansas City Royals,3,2,Milwaukee Brewers
84,2,04-02-2025 17:15:0,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,12,5,St. Louis Cardinals
85,2,04-02-2025 18:10:0,Rate Field,Chicago White Sox,Minnesota Twins,1,6,Minnesota Twins
86,2,04-02-2025 19:7:0,Rogers Centre,Toronto Blue Jays,Washington Nationals,4,2,Toronto Blue Jays
87,2,04-02-2025 19:35:0,Sutter Health Park,Athletics,Chicago Cubs,2,10,Chicago Cubs
88,2,04-02-2025 20:10:0,Petco Park,San Diego Padres,Cleveland Guardians,5,2,San Diego Padres
89,2,04-02-2025 20:10:0,T-Mobile Park,Seattle Mariners,Detroit Tigers,3,2,Seattle Mariners
90,2,04-02-2025 20:10:0,Daikin Park,Houston Astros,San Francisco Giants,3,6,San Francisco Giants
91,2,04-02-2025 20:40:0,loanDepot park,Miami Marlins,New York Mets,5,6,New York Mets
92,2,04-02-2025 22:35:0,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,0,3,Boston Red Sox
93,2,04-02-2025 22:45:0,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,5,1,Philadelphia Phillies
94,2,04-02-2025 23:5:0,Yankee Stadium,New York Yankees,Arizona Diamondbacks,3,4,Arizona Diamondbacks
95,2,04-03-2025 0:38:0,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,6,5,Los Angeles Dodgers
96,2,04-03-2025 17:5:0,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,4,8,Boston Red Sox
97,2,04-03-2025 17:5:0,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,3,1,Philadelphia Phillies
98,2,04-03-2025 20:10:0,Target Field,Minnesota Twins,Houston Astros,2,5,Houston Astros
99,2,04-03-2025 23:5:0,Yankee Stadium,New York Yankees,Arizona Diamondbacks,9,7,New York Yankees
100,2,04-03-2025 23:40:0,American Family Field,Milwaukee Brewers,Cincinnati Reds,1,0,Milwaukee Brewers
101,2,04-04-2025 17:10:0,Comerica Park,Detroit Tigers,Chicago White Sox,7,4,Detroit Tigers
102,2,04-04-2025 18:10:0,Fenway Park,Boston Red Sox,St. Louis Cardinals,13,9,Boston Red Sox
103,2,04-04-2025 18:20:0,Wrigley Field,Chicago Cubs,San Diego Padres,3,1,Chicago Cubs
104,2,04-04-2025 19:10:0,Citi Field,New York Mets,Toronto Blue Jays,5,0,New York Mets
105,2,04-04-2025 20:10:0,Coors Field,Colorado Rockies,Athletics,3,6,Athletics
106,2,04-04-2025 20:12:0,PNC Park,Pittsburgh Pirates,New York Yankees,4,9,New York Yankees
107,2,04-04-2025 20:35:0,Oracle Park,San Francisco Giants,Seattle Mariners,10,9,San Francisco Giants
108,2,04-04-2025 22:45:0,Nationals Park,Washington Nationals,Arizona Diamondbacks,4,6,Arizona Diamondbacks
109,2,04-04-2025 22:45:0,Citizens Bank Park,Philadelphia Phillies,Los Angeles Dodgers,3,2,Philadelphia Phillies
110,2,04-04-2025 23:15:0,Truist Park,Atlanta Braves,Miami Marlins,10,0,Atlanta Braves
111,2,04-04-2025 23:40:0,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,8,2,Kansas City Royals
112,2,04-05-2025 0:5:0,Globe Life Field,Texas Rangers,Tampa Bay Rays,5,2,Texas Rangers
113,2,04-05-2025 0:10:0,American Family Field,Milwaukee Brewers,Cincinnati Reds,3,2,Milwaukee Brewers
114,2,04-05-2025 1:38:0,Angel Stadium,Los Angeles Angels,Cleveland Guardians,6,8,Cleveland Guardians
115,2,04-05-2025 17:10:0,Comerica Park,Detroit Tigers,Chicago White Sox,7,2,Detroit Tigers
116,2,04-05-2025 18:10:0,Target Field,Minnesota Twins,Houston Astros,6,1,Minnesota Twins
117,2,04-05-2025 18:20:0,Wrigley Field,Chicago Cubs,San Diego Padres,7,1,Chicago Cubs
118,2,04-05-2025 20:5:0,Nationals Park,Washington Nationals,Arizona Diamondbacks,4,3,Washington Nationals
119,2,04-05-2025 20:5:0,Citizens Bank Park,Philadelphia Phillies,Los Angeles Dodgers,1,3,Los Angeles Dodgers
120,2,04-05-2025 20:5:0,PNC Park,Pittsburgh Pirates,New York Yankees,4,10,New York Yankees
121,2,04-05-2025 20:10:0,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,1,8,Baltimore Orioles
123,2,04-05-2025 23:5:0,Globe Life Field,Texas Rangers,Tampa Bay Rays,6,4,Texas Rangers
124,2,04-05-2025 23:10:0,Citi Field,New York Mets,Toronto Blue Jays,3,2,New York Mets
125,2,04-05-2025 23:10:0,American Family Field,Milwaukee Brewers,Cincinnati Reds,7,11,Cincinnati Reds
126,2,04-05-2025 23:15:0,Truist Park,Atlanta Braves,Miami Marlins,0,4,Miami Marlins
127,2,04-06-2025 0:10:0,Coors Field,Colorado Rockies,Athletics,4,7,Athletics
128,2,04-06-2025 1:5:0,Oracle Park,San Francisco Giants,Seattle Mariners,4,1,San Francisco Giants
129,2,04-06-2025 1:38:0,Angel Stadium,Los Angeles Angels,Cleveland Guardians,10,4,Los Angeles Angels
122,2,04-06-2025 17:35:0,Fenway Park,Boston Red Sox,St. Louis Cardinals,5,4,Boston Red Sox
130,2,04-06-2025 17:35:0,Nationals Park,Washington Nationals,Arizona Diamondbacks,5,4,Washington Nationals
131,2,04-06-2025 17:35:0,Citizens Bank Park,Philadelphia Phillies,Los Angeles Dodgers,8,7,Philadelphia Phillies
133,2,04-06-2025 17:35:0,PNC Park,Pittsburgh Pirates,New York Yankees,5,4,Pittsburgh Pirates
134,2,04-06-2025 17:40:0,Citi Field,New York Mets,Toronto Blue Jays,2,1,New York Mets
135,2,04-06-2025 17:40:0,Comerica Park,Detroit Tigers,Chicago White Sox,4,3,Detroit Tigers
136,2,04-06-2025 18:10:0,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,4,1,Kansas City Royals
137,2,04-06-2025 18:10:0,Target Field,Minnesota Twins,Houston Astros,7,9,Houston Astros
138,2,04-06-2025 18:10:0,American Family Field,Milwaukee Brewers,Cincinnati Reds,8,2,Milwaukee Brewers
139,2,04-06-2025 18:20:0,Wrigley Field,Chicago Cubs,San Diego Padres,7,8,San Diego Padres
140,2,04-06-2025 18:35:0,Globe Life Field,Texas Rangers,Tampa Bay Rays,4,3,Texas Rangers
141,2,04-06-2025 19:10:0,Coors Field,Colorado Rockies,Athletics,12,5,Colorado Rockies
142,2,04-06-2025 20:5:0,Oracle Park,San Francisco Giants,Seattle Mariners,5,4,San Francisco Giants
143,2,04-06-2025 20:7:0,Angel Stadium,Los Angeles Angels,Cleveland Guardians,6,2,Los Angeles Angels
144,2,04-06-2025 23:10:0,Fenway Park,Boston Red Sox,St. Louis Cardinals,18,7,Boston Red Sox
146,2,04-07-2025 19:10:0,Comerica Park,Detroit Tigers,New York Yankees,6,2,Detroit Tigers
145,2,04-07-2025 22:40:0,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,8,4,Pittsburgh Pirates
147,2,04-07-2025 22:45:0,Nationals Park,Washington Nationals,Los Angeles Dodgers,6,4,Washington Nationals
148,2,04-07-2025 22:45:0,Fenway Park,Boston Red Sox,Toronto Blue Jays,2,6,Toronto Blue Jays
149,2,04-07-2025 23:10:0,Citi Field,New York Mets,Miami Marlins,2,0,New York Mets
150,2,04-07-2025 23:40:0,Wrigley Field,Chicago Cubs,Texas Rangers,7,0,Chicago Cubs
151,2,04-07-2025 23:40:0,Kauffman Stadium,Kansas City Royals,Minnesota Twins,4,2,Kansas City Royals
152,2,04-08-2025 1:40:0,Chase Field,Arizona Diamondbacks,Baltimore Orioles,1,5,Baltimore Orioles
153,2,04-08-2025 1:40:0,T-Mobile Park,Seattle Mariners,Houston Astros,4,3,Seattle Mariners
