SEASON,Date,Home Team,Away team,Home score,Away score,Result,how,Match
IPL 2019,23-03-2019,Chennai Super Kings,Royal Challengers Bengaluru,71/3 (17.4 ov),70/10 (17.1 ov),Chennai Super Kings,Super Kings won by 7 wickets (with 14 balls remaining),MATCH 1
IPL 2019,24-03-2019,Kolkata Knight Riders,Sunrisers Hyderabad,183/4 (19.4 ov),181/3 (20 ov),Kolkata Knight Riders,KKR won by 6 wickets (with 2 balls remaining),MATCH 2
IPL 2019,24-03-2019,Mumbai Indians,Delhi Capitals,176/10 (19.2 ov),213/6 (20 ov),Delhi Capitals,Capitals won by 37 runs,MATCH 3
IPL 2019,25-03-2019,Rajasthan Royals,Punjab Kings,170/9 (20 ov),184/4 (20 ov),Punjab Kings,Kings XI won by 14 runs,MATCH 4
IPL 2019,26-03-2019,Delhi Capitals,Chennai Super Kings,147/6 (20 ov),150/4 (19.4 ov),Chennai Super Kings,Super Kings won by 6 wickets (with 2 balls remaining),MATCH 5
IPL 2019,27-03-2019,Kolkata Knight Riders,Punjab Kings,218/4 (20 ov),190/4 (20 ov),Kolkata Knight Riders,KKR won by 28 runs,MATCH 6
IPL 2019,28-03-2019,Royal Challengers Bengaluru,Mumbai Indians,181/5 (20 ov),187/8 (20 ov),Mumbai Indians,Mum Indians won by 6 runs,MATCH 7
IPL 2019,29-03-2019,Sunrisers Hyderabad,Rajasthan Royals,201/5 (19 ov),198/2 (20 ov),Sunrisers Hyderabad,Sunrisers won by 5 wickets (with 6 balls remaining),MATCH 8
IPL 2019,30-03-2019,Punjab Kings,Mumbai Indians,177/2 (18.4 ov),176/7 (20 ov),Punjab Kings,Kings XI won by 8 wickets (with 8 balls remaining),MATCH 9
IPL 2019,30-03-2019,Delhi Capitals,Kolkata Knight Riders,185/6 (20 ov),185/8 (20 ov),Delhi Capitals,Match tied (Delhi Capitals won the one-over eliminator),MATCH 10
IPL 2019,31-03-2019,Sunrisers Hyderabad,Royal Challengers Bengaluru,231/2 (20 ov),113/10 (19.5 ov),Sunrisers Hyderabad,Sunrisers won by 118 runs,MATCH 11
IPL 2019,31-03-2019,Chennai Super Kings,Rajasthan Royals,175/5 (20 ov),167/8 (20 ov),Chennai Super Kings,Super Kings won by 8 runs,MATCH 12
IPL 2019,01-04-2019,Punjab Kings,Delhi Capitals,166/9 (20 ov),152/10 (19.2 ov),Punjab Kings,Kings XI won by 14 runs,MATCH 13
IPL 2019,02-04-2019,Rajasthan Royals,Royal Challengers Bengaluru,164/3 (19.5 ov),158/4 (20 ov),Rajasthan Royals,Royals won by 7 wickets (with 1 ball remaining),MATCH 14
IPL 2019,03-04-2019,Mumbai Indians,Chennai Super Kings,170/5 (20 ov),133/8 (20 ov),Mumbai Indians,Mum Indians won by 37 runs,MATCH 15
