SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2025,Match 1,22-03-2025,Kolkata Knight Riders,Royal Challengers Bengaluru,174/8 (20.0),177/3 (16.2),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Kolkata Knight Riders by 7 wickets
IPL 2025,Match 2,23-03-2025,Sunrisers Hyderabad,Rajasthan Royals,286/6 (20.0),242/6 (20.0),Sunrisers Hyderabad,Sunrisers Hyderabad beat Rajasthan Royals by 44 runs
IPL 2025,Match 3,23-03-2025,Mumbai Indians,Chennai Super Kings,155/9 (20.0),158/6 (19.1),Chennai Super Kings,Chennai Super Kings beat Mumbai Indians by 4 wickets
IPL 2025,Match 4,24-03-2025,Lucknow Super Giants,Delhi Capitals,209/8 (20.0),211/9 (19.3),Delhi Capitals,Delhi Capitals beat Lucknow Super Giants by 1 wicket
IPL 2025,Match 5,25-03-2025,Punjab Kings,Gujarat Titans,243/5 (20.0),232/5 (20.0),Punjab Kings,Punjab Kings beat Gujarat Titans by 11 runs
IPL 2025,Match 6,26-03-2025,Rajasthan Royals,Kolkata Knight Riders,151/9 (20.0),153/2 (17.3),Kolkata Knight Riders,Kolkata Knight Riders beat Rajasthan Royals by 8 wickets
IPL 2025,Match 7,27-03-2025,Sunrisers Hyderabad,Lucknow Super Giants,190/9 (20.0),193/5 (16.1),Lucknow Super Giants,Lucknow Super Giants beat Sunrisers Hyderabad by 5 wickets
IPL 2025,Match 8,28-03-2025,Royal Challengers Bengaluru,Chennai Super Kings,196/7 (20.0),146/8 (20.0),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Chennai Super Kings by 50 runs
IPL 2025,Match 9,29-03-2025,Gujarat Titans,Mumbai Indians,196/8 (20.0),160/6 (20.0),Gujarat Titans,Gujarat Titans beat Mumbai Indians by 36 runs
IPL 2025,Match 10,30-03-2025,Sunrisers Hyderabad,Delhi Capitals,163/10 (18.4),166/3 (16.0),Delhi Capitals,Delhi Capitals beat Sunrisers Hyderabad by 7 wickets
IPL 2025,Match 11,30-03-2025,Rajasthan Royals,Chennai Super Kings,182/9 (20.0),176/6 (20.0),Rajasthan Royals,Rajasthan Royals beat Chennai Super Kings by 6 runs
IPL 2025,Match 12,31-03-2025,Kolkata Knight Riders,Mumbai Indians,116/10 (16.2),121/2 (12.5),Mumbai Indians,Mumbai Indians beat Kolkata Knight Riders by 8 wickets
IPL 2025,Match 13,01-04-2025,Lucknow Super Giants,Punjab Kings,171/7 (20.0),177/2 (16.2),Punjab Kings,Punjab Kings beat Lucknow Super Giants by 8 wickets
IPL 2025,Match 14,02-04-2025,Royal Challengers Bengaluru,Gujarat Titans,169/8 (20.0),170/2 (17.5),Gujarat Titans,Gujarat Titans beat Royal Challengers Bengaluru by 8 wickets
IPL 2025,Match 15,03-04-2025,Kolkata Knight Riders,Sunrisers Hyderabad,200/6 (20.0),120/10 (16.4),Kolkata Knight Riders,Kolkata Knight Riders beat Sunrisers Hyderabad by 80 runs
IPL 2025,Match 16,04-04-2025,Lucknow Super Giants,Mumbai Indians,203/8 (20.0),191/5 (20.0),Lucknow Super Giants,Lucknow Super Giants beat Mumbai Indians by 12 runs
IPL 2025,Match 17,05-04-2025,Delhi Capitals,Chennai Super Kings,183/6 (20.0),158/5 (20.0),Delhi Capitals,Delhi Capitals beat Chennai Super Kings by 25 runs
IPL 2025,Match 18,05-04-2025,Rajasthan Royals,Punjab Kings,205/4 (20.0),155/9 (20.0),Rajasthan Royals,Rajasthan Royals beat Punjab Kings by 50 runs
IPL 2025,Match 19,06-04-2025,Sunrisers Hyderabad,Gujarat Titans,152/8 (20.0),153/3 (16.4),Gujarat Titans,Gujarat Titans beat Sunrisers Hyderabad by 7 wickets
IPL 2025,Match 20,07-04-2025,Royal Challengers Bengaluru,Mumbai Indians,221/5 (20.0),209/9 (20.0),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Mumbai Indians by 12 runs
IPL 2025,Match 21,08-04-2025,Lucknow Super Giants,Kolkata Knight Riders,238/3 (20.0),234/7 (20.0),Lucknow Super Giants,Lucknow Super Giants beat Kolkata Knight Riders by 4 runs
IPL 2025,Match 22,08-04-2025,Punjab Kings,Chennai Super Kings,219/6 (20.0),201/5 (20.0),Punjab Kings,Punjab Kings beat Chennai Super Kings by 18 runs
IPL 2025,Match 23,09-04-2025,Gujarat Titans,Rajasthan Royals,217/6 (20.0),159/10 (19.2),Gujarat Titans,Gujarat Titans beat Rajasthan Royals by 58 runs
IPL 2025,Match 24,10-04-2025,Royal Challengers Bengaluru,Delhi Capitals,163/7 (20.0),169/4 (17.5),Delhi Capitals,Delhi Capitals beat Royal Challengers Bengaluru by 6 wickets
IPL 2025,Match 25,11-04-2025,Chennai Super Kings,Kolkata Knight Riders,103/9 (20.0),107/2 (10.1),Kolkata Knight Riders,Kolkata Knight Riders beat Chennai Super Kings by 8 wickets
IPL 2025,Match 26,12-04-2025,Gujarat Titans,Lucknow Super Giants,180/6 (20.0),186/4 (19.3),Lucknow Super Giants,Lucknow Super Giants beat Gujarat Titans by 6 wickets
IPL 2025,Match 27,12-04-2025,Punjab Kings,Sunrisers Hyderabad,245/6 (20.0),247/2 (18.3),Sunrisers Hyderabad,Sunrisers Hyderabad beat Punjab Kings by 8 wickets
IPL 2025,Match 28,13-04-2025,Rajasthan Royals,Royal Challengers Bengaluru,173/4 (20.0),175/1 (17.3),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Rajasthan Royals by 9 wickets
IPL 2025,Match 29,13-04-2025,Mumbai Indians,Delhi Capitals,205/5 (20.0),193/10 (19.0),Mumbai Indians,Mumbai Indians beat Delhi Capitals by 12 runs
IPL 2025,Match 30,14-04-2025,Lucknow Super Giants,Chennai Super Kings,166/7 (20.0),168/5 (19.3),Chennai Super Kings,Chennai Super Kings beat Lucknow Super Giants by 5 wickets
IPL 2025,Match 31,15-04-2025,Punjab Kings,Kolkata Knight Riders,111/10 (15.3),95/10 (15.1),Punjab Kings,Punjab Kings beat Kolkata Knight Riders by 16 runs
