Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,17-10-2025 19:00,Coopers Stadium,Adelaide United,Sydney,
2,1,17-10-2025 21:05,Suncorp Stadium,Brisbane Roar,Macarthur,
3,1,18-10-2025 17:00,CommBank Stadium,Western Sydney Wanderers,Melbourne City,
4,1,18-10-2025 19:35,AAMI Park,Melbourne Victory,Auckland,
5,1,18-10-2025 21:45,HBF Park,Perth Glory,Wellington Phoenix,
6,1,19-10-2025 15:00,polytec Stadium,Central Coast Mariners,Newcastle Jets,
7,2,24-10-2025 19:35,McDonald Jones Stadium,Newcastle Jets,Melbourne Victory,
8,2,25-10-2025 15:00,Go Media Stadium,Auckland,Western Sydney Wanderers,
9,2,25-10-2025 17:00,AAMI Park,Melbourne City,Perth Glory,
10,2,25-10-2025 19:35,Leichhardt Oval,Sydney,Central Coast Mariners,
11,2,26-10-2025 13:00,Sky Stadium,Wellington Phoenix,Brisbane Roar,
12,2,27-10-2025 19:00,Campbelltown Sports Stadium,Macarthur,Adelaide United,
13,3,31-10-2025 19:35,Suncorp Stadium,Brisbane Roar,Melbourne City,
14,3,31-10-2025 21:45,HBF Park,Perth Glory,Melbourne Victory,
15,3,01-11-2025 15:00,Go Media Stadium,Auckland,Adelaide United,
16,3,01-11-2025 17:00,McDonald Jones Stadium,Newcastle Jets,Sydney,
17,3,01-11-2025 19:35,Campbelltown Sports Stadium,Macarthur,Western Sydney Wanderers,
18,3,02-11-2025 17:00,polytec Stadium,Central Coast Mariners,Wellington Phoenix,
19,4,07-11-2025 11:00,TBA,Brisbane Roar,Newcastle Jets,
20,4,07-11-2025 19:35,Coopers Stadium,Adelaide United,Western Sydney Wanderers,
21,4,07-11-2025 21:45,HBF Park,Perth Glory,Central Coast Mariners,
22,4,08-11-2025 17:00,Sky Stadium,Wellington Phoenix,Auckland,
23,4,08-11-2025 19:35,AAMI Park,Melbourne Victory,Melbourne City,
24,4,09-11-2025 15:00,Leichhardt Oval,Sydney,Macarthur,
25,5,21-11-2025 19:35,Coopers Stadium,Adelaide United,Melbourne City,
26,5,22-11-2025 15:00,Sky Stadium,Wellington Phoenix,Macarthur,
27,5,22-11-2025 17:00,CommBank Stadium,Western Sydney Wanderers,Central Coast Mariners,
28,5,22-11-2025 19:35,TBA,Sydney,Melbourne Victory,
29,5,23-11-2025 13:00,Go Media Stadium,Auckland,Brisbane Roar,
30,5,23-11-2025 17:00,TBA,Newcastle Jets,Perth Glory,
31,6,28-11-2025 19:35,Suncorp Stadium,Brisbane Roar,Melbourne Victory,
32,6,29-11-2025 15:00,Sky Stadium,Wellington Phoenix,Adelaide United,
33,6,29-11-2025 17:00,polytec Stadium,Central Coast Mariners,Melbourne City,
34,6,29-11-2025 19:35,CommBank Stadium,Western Sydney Wanderers,Sydney,
35,6,30-11-2025 13:00,Go Media Stadium,Auckland,Newcastle Jets,
36,6,30-11-2025 18:00,Campbelltown Sports Stadium,Macarthur,Perth Glory,
