Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2017,1,1,27-10-2017 17:20,Allianz Stadium,Sydney FC,Brisbane Roar,1,3,Brisbane Roar
2017,2,1,27-10-2017 22:00,nib Stadium,Perth Glory,Melbourne City,4,1,Perth Glory
2017,3,1,28-10-2017 16:30,Epping Stadium,Melbourne Victory,Canberra United,2,1,Melbourne Victory
2017,4,1,29-10-2017 14:30,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,2,1,Newcastle Jets
2017,5,2,03-11-2017 17:20,AAMI Park,Melbourne City,Melbourne Victory,1,0,Melbourne City
2017,6,2,03-11-2017 19:30,Marconi Stadium,Western Sydney Wanderers,Adelaide United,2,1,Western Sydney Wanderers
2017,7,2,04-11-2017 17:00,McDonald Jones Stadium,Newcastle Jets,Sydney FC,2,0,Newcastle Jets
2017,8,2,05-11-2017 14:30,Suncorp Stadium,Brisbane Roar,Perth Glory,1,4,Perth Glory
2017,9,3,10-11-2017 17:20,Marden Sports Complex,Adelaide United,Perth Glory,3,1,Adelaide United
2017,10,3,10-11-2017 19:30,Marconi Stadium,Western Sydney Wanderers,Brisbane Roar,0,1,Brisbane Roar
2017,11,3,12-11-2017 16:30,McKellar Park,Canberra United,Sydney FC,3,2,Canberra United
2017,12,3,12-11-2017 16:30,AAMI Park,Melbourne City,Newcastle Jets,5,2,Melbourne City
2017,13,4,17-11-2017 17:20,Suncorp Stadium,Brisbane Roar,Adelaide United,1,0,Brisbane Roar
2017,14,4,18-11-2017 17:00,Allianz Stadium,Sydney FC,Melbourne City,3,2,Sydney FC
2017,15,4,19-11-2017 16:30,No.2 Sportsground,Newcastle Jets,Canberra United,1,2,Canberra United
2017,16,4,19-11-2017 16:30,nib Stadium,Perth Glory,Melbourne Victory,3,1,Perth Glory
2017,18,5,24-11-2017 19:30,Lakeside Stadium,Melbourne Victory,Western Sydney Wanderers,1,1,Draw
2017,17,5,25-11-2017 16:00,McKellar Park,Canberra United,Perth Glory,3,2,Canberra United
2017,19,5,25-11-2017 19:30,Marden Sports Complex,Adelaide United,Newcastle Jets,1,2,Newcastle Jets
2017,20,6,01-12-2017 16:30,Marconi Stadium,Western Sydney Wanderers,Perth Glory,0,1,Perth Glory
2017,21,6,02-12-2017 16:00,Cromer Park,Sydney FC,Melbourne Victory,2,0,Sydney FC
2017,22,6,03-12-2017 16:30,McKellar Park,Canberra United,Brisbane Roar,0,1,Brisbane Roar
2017,23,6,03-12-2017 17:00,Lakeside Stadium,Melbourne City,Adelaide United,1,1,Draw
2017,24,7,09-12-2017 16:30,Lakeside Stadium,Melbourne Victory,Adelaide United,4,0,Melbourne Victory
2017,25,7,09-12-2017 17:00,ANZ Stadium,Western Sydney Wanderers,Sydney FC,1,3,Sydney FC
2017,26,7,10-12-2017 16:30,AAMI Park,Melbourne City,Canberra United,2,1,Melbourne City
2017,27,7,10-12-2017 17:30,A.J Kelly Reserve,Brisbane Roar,Newcastle Jets,0,3,Newcastle Jets
2017,28,8,15-12-2017 17:20,Allianz Stadium,Sydney FC,Canberra United,3,0,Sydney FC
2017,29,8,15-12-2017 20:00,Marden Sports Complex,Adelaide United,Western Sydney Wanderers,1,2,Western Sydney Wanderers
2017,30,8,16-12-2017 20:15,McDonald Jones Stadium,Newcastle Jets,Perth Glory,3,3,Draw
2017,31,8,17-12-2017 16:30,Suncorp Stadium,Brisbane Roar,Melbourne City,2,0,Brisbane Roar
2017,32,9,29-12-2017 17:20,AAMI Park,Melbourne Victory,Newcastle Jets,1,3,Newcastle Jets
2017,33,9,29-12-2017 20:00,Marden Sports Complex,Adelaide United,Sydney FC,1,2,Sydney FC
2017,34,9,29-12-2017 22:00,Dorrien Gardens,Perth Glory,Brisbane Roar,0,2,Brisbane Roar
2017,35,9,01-01-2018 17:20,ANZ Stadium,Western Sydney Wanderers,Melbourne City,0,1,Melbourne City
2017,36,10,03-01-2018 17:20,Allianz Stadium,Sydney FC,Newcastle Jets,2,2,Draw
2017,37,10,05-01-2018 17:20,Suncorp Stadium,Brisbane Roar,Melbourne Victory,2,1,Brisbane Roar
2017,39,10,07-01-2018 16:30,Melbourne City Football Academy,Melbourne City,Perth Glory,3,0,Melbourne City
2017,38,10,07-01-2018 18:30,McKellar Park,Canberra United,Adelaide United,6,1,Canberra United
2017,40,11,12-01-2018 17:20,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1,2,Adelaide United
2017,41,11,14-01-2018 16:30,Epping Stadium,Melbourne Victory,Melbourne City,2,1,Melbourne Victory
2017,42,11,14-01-2018 16:30,McKellar Park,Canberra United,Western Sydney Wanderers,2,0,Canberra United
2017,43,11,14-01-2018 22:00,Dorrien Gardens,Perth Glory,Sydney FC,0,2,Sydney FC
2017,44,12,19-01-2018 17:20,ANZ Stadium,Western Sydney Wanderers,Melbourne Victory,1,1,Draw
2017,45,12,20-01-2018 19:30,Hay Park,Perth Glory,Canberra United,4,4,Draw
2017,46,12,21-01-2018 16:30,AAMI Park,Melbourne City,Brisbane Roar,0,0,Draw
2017,47,13,26-01-2018 17:20,AAMI Park,Melbourne Victory,Sydney FC,1,2,Sydney FC
2017,48,13,28-01-2018 16:30,McKellar Park,Canberra United,Newcastle Jets,1,5,Newcastle Jets
2017,49,13,28-01-2018 18:30,Marden Sports Complex,Adelaide United,Brisbane Roar,2,4,Brisbane Roar
2017,50,13,28-01-2018 23:15,nib Stadium,Perth Glory,Western Sydney Wanderers,3,4,Western Sydney Wanderers
