Teams
Luton Town
Barnsley
Blackburn Rovers
Brentford
Millwall
Reading
Stoke City
Swansea City
Wigan Athletic
Nottingham Forest
Bristol City
Huddersfield Town
Leeds United
Birmingham City
Cardiff City
Charlton Athletic
Derby County
Fulham
Hull City
Middlesbrough
Preston North End
Queens Park Rangers
Sheffield Wednesday
West Bromwich Albion
Watford
Wycombe Wanderers
Bournemouth
Coventry City
Norwich City
Rotherham United
Sheffield United
Peterborough United
Blackpool
Sunderland
Burnley
Plymouth Argyle
Leicester City
Ipswich Town
Southampton
Oxford United
Portsmouth
