Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Home Score,Away Sore,Result
1,1,15-06-2025 0:0:0,Hard Rock Stadium,Al Ahly FC,Inter Miami CF,Group A,0,0,Draw
2,1,15-06-2025 16:0:0,TQL Stadium,FC Bayern München,Auckland City FC,Group C,10,0,FC Bayern München
3,1,15-06-2025 19:0:0,Rose Bowl Stadium,Paris Saint-Germain,Atlético de Madrid,Group B,4,0,Paris Saint-Germain
4,1,15-06-2025 22:0:0,MetLife Stadium,Palmeiras,FC Porto,Group A,0,0,Draw
5,1,16-06-2025 2:0:0,Lumen Field,Botafogo,Seattle Sounders FC,Group B,2,1,Botafogo
6,1,16-06-2025 19:0:0,Mercedes-Benz Stadium,Chelsea FC,LAFC,Group D,2,0,Chelsea FC
7,1,16-06-2025 22:0:0,Hard Rock Stadium,CA Boca Juniors,SL Benfica,Group C,2,2,Draw
8,1,17-06-2025 1:0:0,Lincoln Financial Field,CR Flamengo,Espérance de Tunisie,Group D,2,0,CR Flamengo
9,1,17-06-2025 16:0:0,MetLife Stadium,Fluminense FC,Borussia Dortmund,Group F,0,0,Draw
10,1,17-06-2025 19:0:0,Lumen Field,CA River Plate,Urawa Red Diamonds,Group E,3,1,CA River Plate
11,1,17-06-2025 23:5:0,Inter&Co Stadium,Ulsan HD,Mamelodi Sundowns FC,Group F,0,1,Mamelodi Sundowns FC
12,1,18-06-2025 1:0:0,Rose Bowl Stadium,CF Monterrey,FC Internazionale Milano,Group E,1,1,Draw
13,1,18-06-2025 16:0:0,Lincoln Financial Field,Manchester City,Wydad AC,Group G,2,0,Manchester City
14,1,18-06-2025 19:0:0,Hard Rock Stadium,Real Madrid C.F.,Al Hilal,Group H,1,1,Draw
15,1,18-06-2025 22:0:0,TQL Stadium,CF Pachuca,FC Salzburg,Group H,1,2,FC Salzburg
16,1,19-06-2025 1:0:0,Audi Field,Al Ain FC,Juventus FC,Group G,0,5,Juventus FC
17,2,19-06-2025 16:0:0,MetLife Stadium,Palmeiras,Al Ahly FC,Group A,2,0,Palmeiras
18,2,19-06-2025 19:0:0,Mercedes-Benz Stadium,Inter Miami CF,FC Porto,Group A,2,1,Inter Miami CF
19,2,19-06-2025 22:0:0,Lumen Field,Seattle Sounders FC,Atlético de Madrid,Group B,1,3,Atlético de Madrid
20,2,20-06-2025 1:0:0,Rose Bowl Stadium,Paris Saint-Germain,Botafogo,Group B,0,1,Botafogo
21,2,20-06-2025 16:0:0,Inter&Co Stadium,SL Benfica,Auckland City FC,Group C,6,0,SL Benfica
22,2,20-06-2025 18:0:0,Lincoln Financial Field,CR Flamengo,Chelsea FC,Group D,3,1,CR Flamengo
23,2,20-06-2025 22:0:0,GEODIS Park,LAFC,Espérance de Tunisie,Group D,0,1,Espérance de Tunisie
24,2,21-06-2025 1:0:0,Hard Rock Stadium,FC Bayern München,CA Boca Juniors,Group C,2,1,FC Bayern München
25,2,21-06-2025 16:0:0,TQL Stadium,Mamelodi Sundowns FC,Borussia Dortmund,Group F,3,4,Borussia Dortmund
26,2,21-06-2025 19:0:0,Lumen Field,FC Internazionale Milano,Urawa Red Diamonds,Group E,2,1,FC Internazionale Milano
27,2,21-06-2025 22:0:0,MetLife Stadium,Fluminense FC,Ulsan HD,Group F,4,2,Fluminense FC
28,2,22-06-2025 1:0:0,Rose Bowl Stadium,CA River Plate,CF Monterrey,Group E,0,0,Draw
29,2,22-06-2025 16:0:0,Lincoln Financial Field,Juventus FC,Wydad AC,Group G,4,1,Juventus FC
30,2,22-06-2025 19:0:0,Bank of America Stadium,Real Madrid C.F.,CF Pachuca,Group H,3,1,Real Madrid C.F.
31,2,22-06-2025 22:0:0,Audi Field,FC Salzburg,Al Hilal,Group H,0,0,Draw
32,2,23-06-2025 1:0:0,Mercedes-Benz Stadium,Manchester City,Al Ain FC,Group G,6,0,Manchester City
33,3,23-06-2025 19:0:0,Lumen Field,Seattle Sounders FC,Paris Saint-Germain,Group B,0,2,Paris Saint-Germain
34,3,23-06-2025 19:0:0,Rose Bowl Stadium,Atlético de Madrid,Botafogo,Group B,1,0,Atlético de Madrid
35,3,24-06-2025 1:0:0,Hard Rock Stadium,Inter Miami CF,Palmeiras,Group A,2,2,Draw
36,3,24-06-2025 1:0:0,MetLife Stadium,FC Porto,Al Ahly FC,Group A,4,4,Draw
37,3,24-06-2025 19:0:0,GEODIS Park,Auckland City FC,CA Boca Juniors,Group C,1,1,Draw
38,3,24-06-2025 19:0:0,Bank of America Stadium,SL Benfica,FC Bayern München,Group C,1,0,SL Benfica
39,3,25-06-2025 1:0:0,Lincoln Financial Field,Espérance de Tunisie,Chelsea FC,Group D,0,3,Chelsea FC
40,3,25-06-2025 1:0:0,Camping World Stadium,LAFC,CR Flamengo,Group D,1,1,Draw
41,3,25-06-2025 19:0:0,TQL Stadium,Borussia Dortmund,Ulsan HD,Group F,1,0,Borussia Dortmund
42,3,25-06-2025 19:0:0,Hard Rock Stadium,Mamelodi Sundowns FC,Fluminense FC,Group F,0,0,Draw
43,3,26-06-2025 1:0:0,Rose Bowl Stadium,Urawa Red Diamonds,CF Monterrey,Group E,0,4,CF Monterrey
44,3,26-06-2025 1:0:0,Lumen Field,FC Internazionale Milano,CA River Plate,Group E,2,0,FC Internazionale Milano
45,3,26-06-2025 19:0:0,Audi Field,Wydad AC,Al Ain FC,Group G,1,2,Al Ain FC
46,3,26-06-2025 19:0:0,Camping World Stadium,Juventus FC,Manchester City,Group G,2,5,Manchester City
47,3,27-06-2025 1:0:0,GEODIS Park,Al Hilal,CF Pachuca,Group H,2,0,Al Hilal
48,3,27-06-2025 1:0:0,Lincoln Financial Field,FC Salzburg,Real Madrid C.F.,Group H,0,3,Real Madrid C.F.
49,Round of 16,28-06-2025 16:0:0,Lincoln Financial Field,Palmeiras,Botafogo,,1,0,Palmeiras
50,Round of 16,28-06-2025 20:0:0,Bank of America Stadium,SL Benfica,Chelsea FC,,1,4,Chelsea FC
51,Round of 16,29-06-2025 16:0:0,Mercedes-Benz Stadium,Paris Saint-Germain,Inter Miami CF,,4,0,Paris Saint-Germain
52,Round of 16,29-06-2025 20:0:0,Hard Rock Stadium,CR Flamengo,FC Bayern München,,2,4,FC Bayern München
53,Round of 16,30-06-2025 19:0:0,Bank of America Stadium,FC Internazionale Milano,Fluminense FC,,0,2,Fluminense FC
54,Round of 16,01-07-2025 1:0:0,Camping World Stadium,Manchester City,Al Hilal,,3,4,Al Hilal
55,Round of 16,01-07-2025 19:0:0,Hard Rock Stadium,Real Madrid C.F.,Juventus FC,,1,0,Real Madrid C.F.
56,Round of 16,02-07-2025 1:0:0,Mercedes-Benz Stadium,Borussia Dortmund,CF Monterrey,,2,1,Borussia Dortmund
57,Quarter Finals,04-07-2025 19:0:0,Camping World Stadium,Fluminense FC,Al Hilal,,2,1,Fluminense FC
58,Quarter Finals,05-07-2025 1:0:0,Lincoln Financial Field,Palmeiras,Chelsea FC,,1,2,Chelsea FC
59,Quarter Finals,05-07-2025 16:0:0,Mercedes-Benz Stadium,Paris Saint-Germain,FC Bayern München,,2,0,Paris Saint-Germain
60,Quarter Finals,05-07-2025 20:0:0,MetLife Stadium,Real Madrid C.F.,Borussia Dortmund,,3,2,Real Madrid C.F.
61,Semi Finals,08-07-2025 19:0:0,MetLife Stadium,Fluminense FC,Chelsea FC,,0,2,Chelsea FC
62,Semi Finals,09-07-2025 19:10:0,MetLife Stadium,Paris Saint-Germain,Real Madrid C.F.,,4,0,Paris Saint-Germain
63,Final,13-07-2025 19:0:0,MetLife Stadium,Chelsea FC,Paris Saint-Germain,,3,0,Chelsea FC
