Date,Home Team,Away Team,Home Score,Away Score,Result
15/12/2018,Stade de Reims,RC Strasbourg Alsace,2,1,Stade de Reims
16/12/2018,Nîmes Olympique,LOSC,2,3,LOSC
16/12/2018,OGC Nice,AS Saint-Etienne,1,1,Draw
16/12/2018,Olympique Lyonnais,AS Monaco,3,0,Olympique Lyonnais
18/12/2018,SM Caen,Toulouse FC,2,1,SM Caen
10/08/2018,Olympique de Marseille,Toulouse FC,4,0,Olympique de Marseille
11/08/2018,FC Nantes,AS Monaco,1,3,AS Monaco
11/08/2018,Angers SCO,Nîmes Olympique,3,4,Nîmes Olympique
11/08/2018,LOSC,Stade Rennais FC,3,1,LOSC
11/08/2018,Montpellier Hérault SC,Dijon FCO,1,2,Dijon FCO
11/08/2018,OGC Nice,Stade de Reims,0,1,Stade de Reims
11/08/2018,AS Saint-Etienne,EA Guingamp,2,1,AS Saint-Etienne
12/08/2018,Olympique Lyonnais,Amiens SC,2,0,Olympique Lyonnais
12/08/2018,Girondins de Bordeaux,RC Strasbourg Alsace,0,2,RC Strasbourg Alsace
12/08/2018,Paris Saint-Germain,SM Caen,3,0,Paris Saint-Germain
17/08/2018,Stade de Reims,Olympique Lyonnais,1,0,Stade de Reims
18/08/2018,EA Guingamp,Paris Saint-Germain,1,3,Paris Saint-Germain
18/08/2018,Amiens SC,Montpellier Hérault SC,1,2,Montpellier Hérault SC
18/08/2018,SM Caen,OGC Nice,1,1,Draw
18/08/2018,Dijon FCO,FC Nantes,2,0,Dijon FCO
18/08/2018,AS Monaco,LOSC,0,0,Draw
18/08/2018,Stade Rennais FC,Angers SCO,1,0,Stade Rennais FC
19/08/2018,RC Strasbourg Alsace,AS Saint-Etienne,1,1,Draw
19/08/2018,Toulouse FC,Girondins de Bordeaux,2,1,Toulouse FC
19/08/2018,Nîmes Olympique,Olympique de Marseille,3,1,Nîmes Olympique
24/08/2018,Olympique Lyonnais,RC Strasbourg Alsace,2,0,Olympique Lyonnais
25/08/2018,Paris Saint-Germain,Angers SCO,3,1,Paris Saint-Germain
25/08/2018,Amiens SC,Stade de Reims,4,1,Amiens SC
25/08/2018,Montpellier Hérault SC,AS Saint-Etienne,0,0,Draw
25/08/2018,FC Nantes,SM Caen,1,1,Draw
25/08/2018,OGC Nice,Dijon FCO,0,4,Dijon FCO
25/08/2018,Toulouse FC,Nîmes Olympique,1,0,Toulouse FC
26/08/2018,LOSC,EA Guingamp,3,0,LOSC
26/08/2018,Girondins de Bordeaux,AS Monaco,2,1,Girondins de Bordeaux
26/08/2018,Olympique de Marseille,Stade Rennais FC,2,2,Draw
31/08/2018,Olympique Lyonnais,OGC Nice,0,1,OGC Nice
01/09/2018,Nîmes Olympique,Paris Saint-Germain,2,4,Paris Saint-Germain
01/09/2018,Angers SCO,LOSC,1,0,Angers SCO
01/09/2018,Dijon FCO,SM Caen,0,2,SM Caen
01/09/2018,EA Guingamp,Toulouse FC,1,2,Toulouse FC
01/09/2018,Stade de Reims,Montpellier Hérault SC,0,1,Montpellier Hérault SC
01/09/2018,RC Strasbourg Alsace,FC Nantes,2,3,FC Nantes
02/09/2018,AS Saint-Etienne,Amiens SC,0,0,Draw
02/09/2018,Stade Rennais FC,Girondins de Bordeaux,2,0,Stade Rennais FC
02/09/2018,AS Monaco,Olympique de Marseille,2,3,Olympique de Marseille
14/09/2018,OGC Nice,Stade Rennais FC,2,1,OGC Nice
14/09/2018,Paris Saint-Germain,AS Saint-Etienne,4,0,Paris Saint-Germain
15/09/2018,SM Caen,Olympique Lyonnais,2,2,Draw
15/09/2018,Amiens SC,LOSC,2,3,LOSC
15/09/2018,Dijon FCO,Angers SCO,1,3,Angers SCO
15/09/2018,Montpellier Hérault SC,RC Strasbourg Alsace,1,1,Draw
15/09/2018,Toulouse FC,AS Monaco,1,1,Draw
16/09/2018,FC Nantes,Stade de Reims,0,0,Draw
16/09/2018,Girondins de Bordeaux,Nîmes Olympique,3,3,Draw
16/09/2018,Olympique de Marseille,EA Guingamp,4,0,Olympique de Marseille
21/09/2018,AS Monaco,Nîmes Olympique,1,1,Draw
22/09/2018,LOSC,FC Nantes,2,1,LOSC
22/09/2018,Angers SCO,Toulouse FC,0,0,Draw
22/09/2018,Montpellier Hérault SC,OGC Nice,1,0,Montpellier Hérault SC
22/09/2018,Stade de Reims,Dijon FCO,0,0,Draw
22/09/2018,AS Saint-Etienne,SM Caen,2,1,AS Saint-Etienne
22/09/2018,RC Strasbourg Alsace,Amiens SC,3,1,RC Strasbourg Alsace
