team,common
AC Ajaccio,Ajaccio
AJ Auxerre,Auxerre
Amiens SC,Amiens
Angers SCO,Angers
AS Monaco,Monaco
AS Saint-Etienne,Saint-Étienne
AS Saint-Étienne,Clermont
Clermont Foot 63,Clermont
Dijon FCO,Dijon
EA Guingamp,Guingamp
ESTAC Troyes,Troyes
FC Lorient,Lorient
FC Metz,Metz
FC Nantes,Nantes
Girondins de Bordeaux,Bordeaux
Havre AC,Le Havre
Havre Athletic Club,Le Havre
LOSC,Lille
LOSC Lille,Lille
Montpellier Hérault SC,Montpellier
Nîmes Olympique,Nîmes
OGC Nice,Nice
Olympique de Marseille,Marseille
Olympique Lyonnais,Lyon
Paris Saint-Germain,Paris Saint-Germain
RC Lens,Lens
RC Strasbourg Alsace,Strasbourg
SM Caen,Caen
Stade Brestois 29,Brest
Stade de Reims,Reims
Stade Rennais FC,Rennes
Toulouse FC,Toulouse
