Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
19/08/2017,Juventus,Cagliari,Juventus,3,0
19/08/2017,Verona,Napoli,Napoli,1,3
20/08/2017,Atalanta,Roma,Roma,0,1
20/08/2017,Bologna,Torino,Draw,1,1
20/08/2017,Inter Milan,Fiorentina,Inter Milan,3,0
20/08/2017,Lazio,Spal,Draw,0,0
20/08/2017,Sampdoria,Benevento,Sampdoria,2,1
20/08/2017,Sassuolo,Genoa,Draw,0,0
20/08/2017,Udinese,Chievo,Chievo,1,2
21/08/2017,Crotone,AC Milan,AC Milan,0,3
26/08/2017,Genoa,Juventus,Juventus,2,4
26/08/2017,Benevento,Bologna,Bologna,0,1
26/08/2017,Roma,Inter Milan,Inter Milan,1,3
27/08/2017,Torino,Sassuolo,Torino,3,0
27/08/2017,AC Milan,Cagliari,AC Milan,2,1
27/08/2017,Chievo,Lazio,Lazio,1,2
27/08/2017,Crotone,Verona,Draw,0,0
27/08/2017,Fiorentina,Sampdoria,Sampdoria,1,2
27/08/2017,Napoli,Atalanta,Napoli,3,1
27/08/2017,Spal,Udinese,Spal,3,2
09/09/2017,Juventus,Chievo,Juventus,3,0
10/09/2017,Inter Milan,Spal,Inter Milan,2,0
10/09/2017,Atalanta,Sassuolo,Atalanta,2,1
10/09/2017,Cagliari,Crotone,Cagliari,1,0
10/09/2017,Udinese,Genoa,Udinese,1,0
10/09/2017,Verona,Fiorentina,Fiorentina,0,5
10/09/2017,Lazio,AC Milan,Lazio,4,1
10/09/2017,Benevento,Torino,Torino,0,1
10/09/2017,Bologna,Napoli,Napoli,0,3
16/09/2017,Crotone,Inter Milan,Inter Milan,0,2
16/09/2017,Fiorentina,Bologna,Fiorentina,2,1
16/09/2017,Roma,Verona,Roma,3,0
17/09/2017,Sassuolo,Juventus,Juventus,1,3
17/09/2017,AC Milan,Udinese,AC Milan,2,1
17/09/2017,Napoli,Benevento,Napoli,6,0
17/09/2017,Spal,Cagliari,Cagliari,0,2
17/09/2017,Torino,Sampdoria,Draw,2,2
17/09/2017,Chievo,Atalanta,Draw,1,1
17/09/2017,Genoa,Lazio,Lazio,2,3
19/09/2017,Bologna,Inter Milan,Draw,1,1
20/09/2017,Benevento,Roma,Roma,0,4
20/09/2017,AC Milan,Spal,AC Milan,2,0
20/09/2017,Atalanta,Crotone,Atalanta,5,1
20/09/2017,Cagliari,Sassuolo,Sassuolo,0,1
20/09/2017,Genoa,Chievo,Draw,1,1
20/09/2017,Juventus,Fiorentina,Juventus,1,0
20/09/2017,Lazio,Napoli,Napoli,1,4
20/09/2017,Udinese,Torino,Torino,2,3
20/09/2017,Verona,Sampdoria,Draw,0,0
23/09/2017,Roma,Udinese,Roma,3,1
23/09/2017,Spal,Napoli,Napoli,2,3
23/09/2017,Juventus,Torino,Juventus,4,0
24/09/2017,Sampdoria,AC Milan,Sampdoria,2,0
24/09/2017,Cagliari,Chievo,Chievo,0,2
24/09/2017,Crotone,Benevento,Crotone,2,0
24/09/2017,Inter Milan,Genoa,Inter Milan,1,0
24/09/2017,Verona,Lazio,Lazio,0,3
24/09/2017,Sassuolo,Bologna,Bologna,0,1
24/09/2017,Fiorentina,Atalanta,Draw,1,1
30/09/2017,Udinese,Sampdoria,Udinese,4,0
30/09/2017,Genoa,Bologna,Bologna,0,1
01/10/2017,Napoli,Cagliari,Napoli,3,0
01/10/2017,Benevento,Inter Milan,Inter Milan,1,2
01/10/2017,Chievo,Fiorentina,Chievo,2,1
01/10/2017,Lazio,Sassuolo,Lazio,6,1
01/10/2017,Spal,Crotone,Draw,1,1
01/10/2017,Torino,Verona,Draw,2,2
01/10/2017,AC Milan,Roma,Roma,0,2
01/10/2017,Atalanta,Juventus,Draw,2,2
14/10/2017,Juventus,Lazio,Lazio,1,2
14/10/2017,Roma,Napoli,Napoli,0,1
15/10/2017,Fiorentina,Udinese,Fiorentina,2,1
15/10/2017,Bologna,Spal,Bologna,2,1
15/10/2017,Cagliari,Genoa,Genoa,2,3
15/10/2017,Crotone,Torino,Draw,2,2
15/10/2017,Sampdoria,Atalanta,Sampdoria,3,1
15/10/2017,Sassuolo,Chievo,Draw,0,0
15/10/2017,Inter Milan,AC Milan,Inter Milan,3,2
16/10/2017,Verona,Benevento,Verona,1,0
21/10/2017,Sampdoria,Crotone,Sampdoria,5,0
21/10/2017,Napoli,Inter Milan,Draw,0,0
22/10/2017,Chievo,Verona,Chievo,3,2
22/10/2017,AC Milan,Genoa,Draw,0,0
22/10/2017,Atalanta,Bologna,Atalanta,1,0
22/10/2017,Benevento,Fiorentina,Fiorentina,0,3
22/10/2017,Spal,Sassuolo,Sassuolo,0,1
22/10/2017,Torino,Roma,Roma,0,1
22/10/2017,Udinese,Juventus,Juventus,2,6
22/10/2017,Lazio,Cagliari,Lazio,3,0
24/10/2017,Inter Milan,Sampdoria,Inter Milan,3,2
25/10/2017,Atalanta,Verona,Atalanta,3,0
25/10/2017,Bologna,Lazio,Lazio,1,2
25/10/2017,Cagliari,Benevento,Cagliari,2,1
25/10/2017,Chievo,AC Milan,AC Milan,1,4
25/10/2017,Fiorentina,Torino,Fiorentina,3,0
25/10/2017,Genoa,Napoli,Napoli,2,3
25/10/2017,Juventus,Spal,Juventus,4,1
25/10/2017,Roma,Crotone,Roma,1,0
25/10/2017,Sassuolo,Udinese,Udinese,0,1
28/10/2017,AC Milan,Juventus,Juventus,0,2
28/10/2017,Roma,Bologna,Roma,1,0
29/10/2017,Benevento,Lazio,Lazio,1,5
29/10/2017,Crotone,Fiorentina,Crotone,2,1
