Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Home Score,Away Score
1,1,23-08-2025 19:30,Luigi Ferraris,Genoa,Lecce,draw,0,0
2,1,23-08-2025 19:30,Mapei Stadium - Città del Tricolore,Sassuolo,Napoli,Napoli,0,2
3,1,23-08-2025 21:45,San Siro,Milan,Cremonese,Cremonese,1,2
4,1,23-08-2025 21:45,Olimpico,Roma,Bologna,Roma,1,0
5,1,24-08-2025 19:30,Unipol Domus,Cagliari,Fiorentina,draw,1,1
6,1,24-08-2025 19:30,Giuseppe Sinigaglia,Como,Lazio,Como,2,0
7,1,24-08-2025 21:45,Atleti Azzurri d'Italia,Atalanta,Pisa,draw,1,1
8,1,24-08-2025 21:45,Juventus Stadium,Juventus,Parma,Juventus,2,0
9,1,25-08-2025 19:30,Friuli,Udinese,Hellas Verona,draw,1,1
10,1,25-08-2025 21:45,Giuseppe Meazza,Inter,Torino,Inter,5,0
11,2,29-08-2025 19:30,Giovanni Zini,Cremonese,Sassuolo,Cremonese,3,2
12,2,29-08-2025 21:45,Ettore Giardiniero - Via del mare,Lecce,Milan,Milan,0,2
13,2,30-08-2025 19:30,Renato Dall'Ara,Bologna,Como,Bologna,1,0
14,2,30-08-2025 19:30,Ennio Tardini,Parma,Atalanta,draw,1,1
15,2,30-08-2025 21:45,Diego Armando Maradona,Napoli,Cagliari,Napoli,1,0
16,2,30-08-2025 21:45,Garibaldi,Pisa,Roma,Roma,0,1
17,2,31-08-2025 19:30,Luigi Ferraris,Genoa,Juventus,Juventus,0,1
18,2,31-08-2025 19:30,Olimpico Grande Torino,Torino,Fiorentina,draw,0,0
19,2,31-08-2025 21:45,Giuseppe Meazza,Inter,Udinese,Udinese,1,2
20,2,31-08-2025 21:45,Olimpico,Lazio,Hellas Verona,Lazio,4,0
21,3,13-09-2025 16:00,Unipol Domus,Cagliari,Parma,Cagliari,2,0
22,3,13-09-2025 19:00,Juventus Stadium,Juventus,Inter,Juventus,4,3
23,3,13-09-2025 21:45,Artemio Franchi,Fiorentina,Napoli,Napoli,1,3
24,3,14-09-2025 13:30,Olimpico,Roma,Torino,Torino,0,1
25,3,14-09-2025 16:00,Atleti Azzurri d'Italia,Atalanta,Lecce,Atalanta,4,1
26,3,14-09-2025 16:00,Garibaldi,Pisa,Udinese,Udinese,0,1
27,3,14-09-2025 19:00,Mapei Stadium - Città del Tricolore,Sassuolo,Lazio,Sassuolo,1,0
28,3,14-09-2025 21:45,San Siro,Milan,Bologna,Milan,1,0
29,3,15-09-2025 19:30,Marcantonio Bentegodi,Hellas Verona,Cremonese,draw,0,0
30,3,15-09-2025 21:45,Giuseppe Sinigaglia,Como,Genoa,draw,1,1
39,4,19-09-2025 21:45,Ettore Giardiniero - Via del mare,Lecce,Cagliari,Cagliari,1,2
34,4,20-09-2025 16:00,Renato Dall'Ara,Bologna,Genoa,,,
33,4,20-09-2025 19:00,Marcantonio Bentegodi,Hellas Verona,Juventus,,,
32,4,20-09-2025 21:45,Friuli,Udinese,Milan,,,
31,4,21-09-2025 16:00,Olimpico Grande Torino,Torino,Atalanta,,,
35,4,21-09-2025 16:00,Giovanni Zini,Cremonese,Parma,,,
36,4,21-09-2025 19:00,Artemio Franchi,Fiorentina,Como,,,
37,4,21-09-2025 21:45,Giuseppe Meazza,Inter,Sassuolo,,,
38,4,22-09-2025 01:30,Olimpico,Lazio,Roma,,,
40,4,22-09-2025 21:45,Diego Armando Maradona,Napoli,Pisa,,,
42,5,27-09-2025 16:00,Giuseppe Sinigaglia,Como,Cremonese,,,
44,5,27-09-2025 19:00,Juventus Stadium,Juventus,Atalanta,,,
41,5,27-09-2025 21:45,Unipol Domus,Cagliari,Inter,,,
50,5,28-09-2025 13:30,Mapei Stadium - Città del Tricolore,Sassuolo,Udinese,,,
48,5,28-09-2025 16:00,Garibaldi,Pisa,Fiorentina,,,
49,5,28-09-2025 16:00,Olimpico,Roma,Hellas Verona,,,
45,5,28-09-2025 19:00,Ettore Giardiniero - Via del mare,Lecce,Bologna,,,
43,5,28-09-2025 21:45,Luigi Ferraris,Genoa,Lazio,,,
46,5,28-09-2025 21:45,San Siro,Milan,Napoli,,,
47,5,29-09-2025 19:30,Ennio Tardini,Parma,Torino,,,
60,6,03-10-2025 21:45,Marcantonio Bentegodi,Hellas Verona,Sassuolo,,,
56,6,04-10-2025 16:00,Olimpico,Lazio,Torino,,,
58,6,04-10-2025 16:00,Ennio Tardini,Parma,Lecce,,,
54,6,04-10-2025 19:00,Giuseppe Meazza,Inter,Cremonese,,,
51,6,04-10-2025 21:45,Atleti Azzurri d'Italia,Atalanta,Como,,,
59,6,05-10-2025 13:30,Friuli,Udinese,Cagliari,,,
52,6,05-10-2025 16:00,Renato Dall'Ara,Bologna,Pisa,,,
53,6,05-10-2025 16:00,Artemio Franchi,Fiorentina,Roma,,,
