Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
12/10/2021,Tampa Bay Lightning,Pittsburgh Penguins,Pittsburgh Penguins,2,6
13/10/2021,Vegas Golden Knights,Seattle Kraken,Vegas Golden Knights,4,3
13/10/2021,Toronto Maple Leafs,Montréal Canadiens,Toronto Maple Leafs,2,1
13/10/2021,Washington Capitals,New York Rangers,Washington Capitals,5,1
14/10/2021,Anaheim Ducks,Winnipeg Jets,Anaheim Ducks,4,1
14/10/2021,Colorado Avalanche,Chicago Blackhawks,Colorado Avalanche,4,2
14/10/2021,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,3,2
14/10/2021,Buffalo Sabres,Montréal Canadiens,Buffalo Sabres,5,1
14/10/2021,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,3,2
14/10/2021,Florida Panthers,Pittsburgh Penguins,Florida Panthers,5,4
14/10/2021,New York Rangers,Dallas Stars,Dallas Stars,2,3
14/10/2021,Carolina Hurricanes,New York Islanders,Carolina Hurricanes,6,3
14/10/2021,Columbus Blue Jackets,Arizona Coyotes,Columbus Blue Jackets,8,2
14/10/2021,Detroit Red Wings,Tampa Bay Lightning,Tampa Bay Lightning,6,7
15/10/2021,Nashville Predators,Seattle Kraken,Seattle Kraken,3,4
15/10/2021,Los Angeles Kings,Vegas Golden Knights,Los Angeles Kings,6,2
15/10/2021,New Jersey Devils,Chicago Blackhawks,New Jersey Devils,4,3
15/10/2021,Philadelphia Flyers,Vancouver Canucks,Vancouver Canucks,4,5
16/10/2021,Anaheim Ducks,Minnesota Wild,Minnesota Wild,1,2
16/10/2021,Buffalo Sabres,Arizona Coyotes,Buffalo Sabres,2,1
16/10/2021,Florida Panthers,New York Islanders,Florida Panthers,5,1
16/10/2021,Boston Bruins,Dallas Stars,Boston Bruins,3,1
16/10/2021,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,3,1
16/10/2021,Montréal Canadiens,New York Rangers,New York Rangers,1,3
16/10/2021,Detroit Red Wings,Vancouver Canucks,Detroit Red Wings,3,1
16/10/2021,Pittsburgh Penguins,Chicago Blackhawks,Pittsburgh Penguins,5,2
16/10/2021,Washington Capitals,Tampa Bay Lightning,Tampa Bay Lightning,1,2
16/10/2021,Columbus Blue Jackets,Seattle Kraken,Columbus Blue Jackets,2,1
17/10/2021,Nashville Predators,Carolina Hurricanes,Carolina Hurricanes,2,3
17/10/2021,Colorado Avalanche,St. Louis Blues,St. Louis Blues,3,5
17/10/2021,San Jose Sharks,Winnipeg Jets,San Jose Sharks,4,3
17/10/2021,Edmonton Oilers,Calgary Flames,Edmonton Oilers,5,2
17/10/2021,Los Angeles Kings,Minnesota Wild,Minnesota Wild,2,3
17/10/2021,Ottawa Senators,Dallas Stars,Ottawa Senators,3,2
18/10/2021,Toronto Maple Leafs,New York Rangers,New York Rangers,1,2
18/10/2021,Philadelphia Flyers,Seattle Kraken,Philadelphia Flyers,6,1
19/10/2021,Calgary Flames,Anaheim Ducks,Anaheim Ducks,2,3
19/10/2021,Arizona Coyotes,St. Louis Blues,St. Louis Blues,4,7
19/10/2021,Buffalo Sabres,Vancouver Canucks,Buffalo Sabres,5,2
19/10/2021,Montréal Canadiens,San Jose Sharks,San Jose Sharks,0,5
19/10/2021,Tampa Bay Lightning,Florida Panthers,Florida Panthers,1,4
19/10/2021,New Jersey Devils,Seattle Kraken,New Jersey Devils,4,2
19/10/2021,Pittsburgh Penguins,Dallas Stars,Dallas Stars,1,2
19/10/2021,Washington Capitals,Colorado Avalanche,Washington Capitals,6,3
19/10/2021,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,4,1
20/10/2021,Chicago Blackhawks,New York Islanders,New York Islanders,1,4
20/10/2021,Nashville Predators,Los Angeles Kings,Nashville Predators,2,1
20/10/2021,Minnesota Wild,Winnipeg Jets,Minnesota Wild,6,5
20/10/2021,Edmonton Oilers,Anaheim Ducks,Edmonton Oilers,6,5
20/10/2021,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,6,3
21/10/2021,Vegas Golden Knights,St. Louis Blues,St. Louis Blues,1,3
21/10/2021,Montréal Canadiens,Carolina Hurricanes,Carolina Hurricanes,1,4
21/10/2021,Ottawa Senators,San Jose Sharks,San Jose Sharks,1,2
21/10/2021,Florida Panthers,Colorado Avalanche,Florida Panthers,4,1
21/10/2021,New Jersey Devils,Washington Capitals,Washington Capitals,1,4
21/10/2021,Columbus Blue Jackets,New York Islanders,Columbus Blue Jackets,3,2
21/10/2021,Detroit Red Wings,Calgary Flames,Calgary Flames,0,3
22/10/2021,Nashville Predators,New York Rangers,New York Rangers,1,3
