Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,22-10-2024 18:30,TD Garden,Boston Celtics,New York Knicks,132,109,Boston Celtics
2,1,22-10-2024 21:00,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,110,103,Los Angeles Lakers
3,1,23-10-2024 18:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,109,115,Indiana Pacers
4,1,23-10-2024 18:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,120,116,Atlanta Hawks
5,1,23-10-2024 18:30,Kaseya Center,Miami Heat,Orlando Magic,97,116,Orlando Magic
6,1,23-10-2024 18:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109,124,Milwaukee Bucks
7,1,23-10-2024 18:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,106,136,Cleveland Cavaliers
8,1,23-10-2024 19:00,Toyota Center,Houston Rockets,Charlotte Hornets,105,110,Charlotte Hornets
9,1,23-10-2024 19:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123,111,New Orleans Pelicans
10,1,23-10-2024 20:00,Delta Center,Utah Jazz,Memphis Grizzlies,124,126,Memphis Grizzlies
11,1,23-10-2024 21:00,Intuit Dome,LA Clippers,Phoenix Suns,113,116,Phoenix Suns
12,1,23-10-2024 21:00,Moda Center,Portland Trail Blazers,Golden State Warriors,104,140,Golden State Warriors
13,1,24-10-2024 18:00,Capital One Arena,Washington Wizards,Boston Celtics,102,122,Boston Celtics
14,1,24-10-2024 18:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,120,109,Dallas Mavericks
15,1,24-10-2024 21:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,87,102,Oklahoma City Thunder
16,1,24-10-2024 21:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,115,117,Minnesota Timberwolves
17,1,25-10-2024 18:00,Kia Center,Orlando Magic,Brooklyn Nets,116,101,Orlando Magic
18,1,25-10-2024 18:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,115,107,Toronto Raptors
19,1,25-10-2024 18:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,125,120,Atlanta Hawks
20,1,25-10-2024 18:30,Rocket Arena,Cleveland Cavaliers,Detroit Pistons,113,101,Cleveland Cavaliers
21,1,25-10-2024 18:30,Madison Square Garden,New York Knicks,Indiana Pacers,123,98,New York Knicks
22,1,25-10-2024 19:00,Toyota Center,Houston Rockets,Memphis Grizzlies,128,108,Houston Rockets
23,1,25-10-2024 19:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122,133,Chicago Bulls
24,1,25-10-2024 20:30,Delta Center,Utah Jazz,Golden State Warriors,86,127,Golden State Warriors
25,1,25-10-2024 21:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,123,116,Los Angeles Lakers
26,1,25-10-2024 21:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,103,105,New Orleans Pelicans
27,1,26-10-2024 16:00,Ball Arena,Denver Nuggets,LA Clippers,104,109,LA Clippers
28,1,26-10-2024 18:00,Spectrum Center,Charlotte Hornets,Miami Heat,106,114,Miami Heat
29,1,26-10-2024 18:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,118,124,Boston Celtics
30,1,26-10-2024 18:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116,135,Cleveland Cavaliers
31,1,26-10-2024 19:00,United Center,Chicago Bulls,Oklahoma City Thunder,95,114,Oklahoma City Thunder
32,1,26-10-2024 19:00,FedExForum,Memphis Grizzlies,Orlando Magic,124,111,Memphis Grizzlies
33,1,26-10-2024 19:00,Target Center,Minnesota Timberwolves,Toronto Raptors,112,101,Minnesota Timberwolves
34,1,26-10-2024 19:30,Frost Bank Center,San Antonio Spurs,Houston Rockets,109,106,San Antonio Spurs
35,1,26-10-2024 21:00,PHX Arena,Phoenix Suns,Dallas Mavericks,114,102,Phoenix Suns
36,1,26-10-2024 21:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,131,127,Los Angeles Lakers
37,1,27-10-2024 14:30,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,114,118,Philadelphia 76ers
38,1,27-10-2024 17:00,Barclays Center,Brooklyn Nets,Milwaukee Bucks,115,102,Brooklyn Nets
39,1,27-10-2024 17:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,125,103,Portland Trail Blazers
40,1,27-10-2024 18:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,128,104,Oklahoma City Thunder
41,1,27-10-2024 19:30,Chase Center,Golden State Warriors,LA Clippers,104,112,LA Clippers
42,1,28-10-2024 18:00,Kia Center,Orlando Magic,Indiana Pacers,119,115,Orlando Magic
43,1,28-10-2024 18:30,State Farm Arena,Atlanta Hawks,Washington Wizards,119,121,Washington Wizards
44,1,28-10-2024 18:30,TD Garden,Boston Celtics,Milwaukee Bucks,119,108,Boston Celtics
45,1,28-10-2024 18:30,Kaseya Center,Miami Heat,Detroit Pistons,106,98,Miami Heat
46,1,28-10-2024 18:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,104,110,Cleveland Cavaliers
47,1,28-10-2024 18:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,125,127,Denver Nuggets
48,1,28-10-2024 19:00,FedExForum,Memphis Grizzlies,Chicago Bulls,123,126,Chicago Bulls
49,1,28-10-2024 19:00,Frost Bank Center,San Antonio Spurs,Houston Rockets,101,106,Houston Rockets
50,1,28-10-2024 19:30,American Airlines Center,Dallas Mavericks,Utah Jazz,110,102,Dallas Mavericks
51,1,28-10-2024 21:00,PHX Arena,Phoenix Suns,Los Angeles Lakers,109,105,Phoenix Suns
52,1,28-10-2024 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,111,98,Sacramento Kings
53,1,29-10-2024 18:30,Barclays Center,Brooklyn Nets,Denver Nuggets,139,144,Denver Nuggets
54,1,29-10-2024 18:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,114,120,Dallas Mavericks
55,1,29-10-2024 20:00,Delta Center,Utah Jazz,Sacramento Kings,96,113,Sacramento Kings
56,1,29-10-2024 21:00,Chase Center,Golden State Warriors,New Orleans Pelicans,124,106,Golden State Warriors
57,2,30-10-2024 18:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,138,133,Charlotte Hornets
58,2,30-10-2024 18:00,Rocket Arena,Cleveland Cavaliers,Los Angeles Lakers,134,110,Cleveland Cavaliers
59,2,30-10-2024 18:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,135,132,Indiana Pacers
60,2,30-10-2024 18:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,95,105,Detroit Pistons
61,2,30-10-2024 18:00,Capital One Arena,Washington Wizards,Atlanta Hawks,133,120,Washington Wizards
62,2,30-10-2024 18:30,Kaseya Center,Miami Heat,New York Knicks,107,116,New York Knicks
63,2,30-10-2024 19:00,United Center,Chicago Bulls,Orlando Magic,102,99,Chicago Bulls
64,2,30-10-2024 19:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,106,119,Brooklyn Nets
65,2,30-10-2024 20:30,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,105,93,Oklahoma City Thunder
66,2,30-10-2024 21:00,Chase Center,Golden State Warriors,New Orleans Pelicans,104,89,Golden State Warriors
67,2,30-10-2024 21:30,Intuit Dome,LA Clippers,Portland Trail Blazers,105,106,Portland Trail Blazers
68,2,31-10-2024 19:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,122,99,Memphis Grizzlies
69,2,31-10-2024 19:30,American Airlines Center,Dallas Mavericks,Houston Rockets,102,108,Houston Rockets
70,2,31-10-2024 20:00,Delta Center,Utah Jazz,San Antonio Spurs,88,106,San Antonio Spurs
71,2,31-10-2024 21:30,Intuit Dome,LA Clippers,Phoenix Suns,119,125,Phoenix Suns
72,2,01-11-2024 18:00,Spectrum Center,Charlotte Hornets,Boston Celtics,109,124,Boston Celtics
73,2,01-11-2024 18:00,Rocket Arena,Cleveland Cavaliers,Orlando Magic,120,109,Cleveland Cavaliers
74,2,01-11-2024 18:00,Little Caesars Arena,Detroit Pistons,New York Knicks,98,128,New York Knicks
75,2,01-11-2024 18:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115,123,Sacramento Kings
76,2,01-11-2024 18:30,Barclays Center,Brooklyn Nets,Chicago Bulls,120,112,Brooklyn Nets
77,2,01-11-2024 18:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,125,131,Los Angeles Lakers
78,2,01-11-2024 19:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,125,118,New Orleans Pelicans
79,2,01-11-2024 20:30,Target Center,Minnesota Timberwolves,Denver Nuggets,119,116,Minnesota Timberwolves
80,2,01-11-2024 21:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,114,137,Oklahoma City Thunder
81,2,02-11-2024 17:00,Spectrum Center,Charlotte Hornets,Boston Celtics,103,113,Boston Celtics
82,2,02-11-2024 18:30,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,104,124,Memphis Grizzlies
83,2,02-11-2024 18:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,131,128,Toronto Raptors
84,2,02-11-2024 19:00,Toyota Center,Houston Rockets,Golden State Warriors,121,127,Golden State Warriors
85,2,02-11-2024 19:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113,114,Cleveland Cavaliers
86,2,02-11-2024 19:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,113,103,San Antonio Spurs
87,2,02-11-2024 20:30,Arena CDMX,Washington Wizards,Miami Heat,98,118,Miami Heat
88,2,02-11-2024 21:00,Ball Arena,Denver Nuggets,Utah Jazz,129,103,Denver Nuggets
89,2,02-11-2024 21:00,PHX Arena,Phoenix Suns,Portland Trail Blazers,103,97,Phoenix Suns
90,2,02-11-2024 21:30,Intuit Dome,LA Clippers,Oklahoma City Thunder,92,105,Oklahoma City Thunder
91,2,03-11-2024 14:30,Barclays Center,Brooklyn Nets,Detroit Pistons,92,106,Detroit Pistons
92,2,03-11-2024 18:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,111,126,Atlanta Hawks
93,2,03-11-2024 18:30,American Airlines Center,Dallas Mavericks,Orlando Magic,108,85,Dallas Mavericks
94,2,04-11-2024 18:00,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,116,114,Cleveland Cavaliers
95,2,04-11-2024 18:15,Capital One Arena,Washington Wizards,Golden State Warriors,112,125,Golden State Warriors
96,2,04-11-2024 18:30,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,115,103,Detroit Pistons
97,2,04-11-2024 18:45,State Farm Arena,Atlanta Hawks,Boston Celtics,93,123,Boston Celtics
98,2,04-11-2024 19:00,Barclays Center,Brooklyn Nets,Memphis Grizzlies,106,104,Brooklyn Nets
99,2,04-11-2024 19:15,Kaseya Center,Miami Heat,Sacramento Kings,110,111,Sacramento Kings
100,2,04-11-2024 19:30,United Center,Chicago Bulls,Utah Jazz,126,135,Utah Jazz
101,2,04-11-2024 19:45,Toyota Center,Houston Rockets,New York Knicks,109,97,Houston Rockets
102,2,04-11-2024 20:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,114,93,Minnesota Timberwolves
103,2,04-11-2024 20:15,Paycom Center,Oklahoma City Thunder,Orlando Magic,102,86,Oklahoma City Thunder
104,2,04-11-2024 20:30,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,100,118,Portland Trail Blazers
105,2,04-11-2024 20:45,American Airlines Center,Dallas Mavericks,Indiana Pacers,127,134,Indiana Pacers
106,2,04-11-2024 21:00,Ball Arena,Denver Nuggets,Toronto Raptors,121,119,Denver Nuggets
107,2,04-11-2024 21:15,PHX Arena,Phoenix Suns,Philadelphia 76ers,118,116,Phoenix Suns
108,2,04-11-2024 21:30,Intuit Dome,LA Clippers,San Antonio Spurs,113,104,LA Clippers
109,3,06-11-2024 18:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,108,107,Charlotte Hornets
110,3,06-11-2024 18:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,118,111,Indiana Pacers
111,3,06-11-2024 18:30,State Farm Arena,Atlanta Hawks,New York Knicks,121,116,Atlanta Hawks
112,3,06-11-2024 18:30,TD Garden,Boston Celtics,Golden State Warriors,112,118,Golden State Warriors
113,3,06-11-2024 19:00,Toyota Center,Houston Rockets,San Antonio Spurs,127,100,Houston Rockets
114,3,06-11-2024 19:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,131,114,Memphis Grizzlies
115,3,06-11-2024 19:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,122,131,Cleveland Cavaliers
116,3,06-11-2024 19:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,119,99,Dallas Mavericks
117,3,06-11-2024 20:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,124,122,Denver Nuggets
118,3,06-11-2024 20:00,PHX Arena,Phoenix Suns,Miami Heat,115,112,Phoenix Suns
119,3,06-11-2024 21:00,Intuit Dome,LA Clippers,Philadelphia 76ers,110,98,LA Clippers
120,3,06-11-2024 21:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,122,107,Sacramento Kings
121,3,07-11-2024 19:00,United Center,Chicago Bulls,Minnesota Timberwolves,119,135,Minnesota Timberwolves
122,3,07-11-2024 19:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,123,100,Milwaukee Bucks
123,3,07-11-2024 19:00,Frost Bank Center,San Antonio Spurs,Portland Trail Blazers,118,105,San Antonio Spurs
124,3,08-11-2024 18:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,103,83,Charlotte Hornets
125,3,08-11-2024 18:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,122,121,Detroit Pistons
126,3,08-11-2024 18:00,Kia Center,Orlando Magic,New Orleans Pelicans,115,88,Orlando Magic
127,3,08-11-2024 18:30,TD Garden,Boston Celtics,Brooklyn Nets,108,104,Boston Celtics
128,3,08-11-2024 18:30,Rocket Arena,Cleveland Cavaliers,Golden State Warriors,136,117,Cleveland Cavaliers
129,3,08-11-2024 18:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,116,94,New York Knicks
130,3,08-11-2024 18:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,113,114,Phoenix Suns
131,3,08-11-2024 19:00,FedExForum,Memphis Grizzlies,Washington Wizards,128,104,Memphis Grizzlies
132,3,08-11-2024 19:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,126,107,Oklahoma City Thunder
133,3,08-11-2024 20:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,127,102,Minnesota Timberwolves
134,3,08-11-2024 20:00,Ball Arena,Denver Nuggets,Miami Heat,135,122,Denver Nuggets
135,3,08-11-2024 21:00,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,116,106,Los Angeles Lakers
136,3,08-11-2024 21:00,Golden 1 Center,Sacramento Kings,LA Clippers,98,107,LA Clippers
137,3,09-11-2024 16:00,Frost Bank Center,San Antonio Spurs,Utah Jazz,110,111,Utah Jazz
138,3,09-11-2024 18:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,113,125,Chicago Bulls
139,3,09-11-2024 18:30,Rocket Arena,Cleveland Cavaliers,Brooklyn Nets,105,100,Cleveland Cavaliers
140,3,09-11-2024 21:30,Intuit Dome,LA Clippers,Toronto Raptors,105,103,LA Clippers
141,3,10-11-2024 14:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,99,101,Houston Rockets
142,3,10-11-2024 14:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,107,113,Boston Celtics
143,3,10-11-2024 16:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,132,121,Indiana Pacers
144,3,10-11-2024 17:00,Kia Center,Orlando Magic,Washington Wizards,121,94,Orlando Magic
145,3,10-11-2024 18:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,107,105,Philadelphia 76ers
146,3,10-11-2024 18:00,Target Center,Minnesota Timberwolves,Miami Heat,94,95,Miami Heat
147,3,10-11-2024 18:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,116,127,Golden State Warriors
148,3,10-11-2024 19:00,Ball Arena,Denver Nuggets,Dallas Mavericks,122,120,Denver Nuggets
149,3,10-11-2024 19:00,PHX Arena,Phoenix Suns,Sacramento Kings,118,127,Sacramento Kings
150,3,10-11-2024 20:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,89,134,Memphis Grizzlies
151,3,10-11-2024 20:30,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,123,103,Los Angeles Lakers
152,3,11-11-2024 19:00,United Center,Chicago Bulls,Cleveland Cavaliers,113,119,Cleveland Cavaliers
153,3,11-11-2024 19:00,Toyota Center,Houston Rockets,Washington Wizards,107,92,Houston Rockets
154,3,11-11-2024 19:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,105,107,Brooklyn Nets
155,3,11-11-2024 19:00,Paycom Center,Oklahoma City Thunder,LA Clippers,134,128,Oklahoma City Thunder
156,3,11-11-2024 19:00,Frost Bank Center,San Antonio Spurs,Sacramento Kings,116,96,San Antonio Spurs
157,3,12-11-2024 18:00,TD Garden,Boston Celtics,Atlanta Hawks,116,117,Atlanta Hawks
158,3,12-11-2024 18:00,Little Caesars Arena,Detroit Pistons,Miami Heat,123,121,Detroit Pistons
159,3,12-11-2024 18:00,Kia Center,Orlando Magic,Charlotte Hornets,114,89,Orlando Magic
160,3,12-11-2024 18:30,Wells Fargo Center,Philadelphia 76ers,New York Knicks,99,111,New York Knicks
161,3,12-11-2024 19:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,99,85,Milwaukee Bucks
162,3,12-11-2024 20:00,Delta Center,Utah Jazz,Phoenix Suns,112,120,Phoenix Suns
163,3,12-11-2024 21:00,Chase Center,Golden State Warriors,Dallas Mavericks,120,117,Golden State Warriors
164,3,12-11-2024 21:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,122,108,Portland Trail Blazers
165,4,13-11-2024 18:00,Kia Center,Orlando Magic,Indiana Pacers,94,90,Orlando Magic
166,4,13-11-2024 18:30,Barclays Center,Brooklyn Nets,Boston Celtics,114,139,Boston Celtics
167,4,13-11-2024 18:30,Madison Square Garden,New York Knicks,Chicago Bulls,123,124,Chicago Bulls
168,4,13-11-2024 18:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106,114,Cleveland Cavaliers
169,4,13-11-2024 18:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,106,88,Oklahoma City Thunder
170,4,13-11-2024 19:00,Toyota Center,Houston Rockets,LA Clippers,111,103,Houston Rockets
171,4,13-11-2024 19:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,127,120,Milwaukee Bucks
172,4,13-11-2024 19:00,Frost Bank Center,San Antonio Spurs,Washington Wizards,139,130,San Antonio Spurs
173,4,13-11-2024 21:00,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,128,123,Los Angeles Lakers
174,4,13-11-2024 21:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,106,98,Portland Trail Blazers
175,4,13-11-2024 21:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,127,104,Sacramento Kings
176,4,14-11-2024 20:00,Delta Center,Utah Jazz,Dallas Mavericks,115,113,Utah Jazz
177,4,15-11-2024 18:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,111,124,Miami Heat
178,4,15-11-2024 18:00,Kia Center,Orlando Magic,Philadelphia 76ers,98,86,Orlando Magic
179,4,15-11-2024 18:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,95,99,Detroit Pistons
180,4,15-11-2024 18:30,State Farm Arena,Atlanta Hawks,Washington Wizards,129,117,Atlanta Hawks
181,4,15-11-2024 18:30,Rocket Arena,Cleveland Cavaliers,Chicago Bulls,144,126,Cleveland Cavaliers
182,4,15-11-2024 18:30,Madison Square Garden,New York Knicks,Brooklyn Nets,124,122,New York Knicks
183,4,15-11-2024 18:30,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,115,120,Los Angeles Lakers
184,4,15-11-2024 19:00,Toyota Center,Houston Rockets,LA Clippers,125,104,Houston Rockets
185,4,15-11-2024 19:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,101,94,New Orleans Pelicans
186,4,15-11-2024 19:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,99,83,Oklahoma City Thunder
187,4,15-11-2024 21:00,Chase Center,Golden State Warriors,Memphis Grizzlies,123,118,Golden State Warriors
188,4,15-11-2024 21:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,126,130,Minnesota Timberwolves
189,4,16-11-2024 14:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,115,114,Charlotte Hornets
190,4,16-11-2024 19:00,TD Garden,Boston Celtics,Toronto Raptors,126,123,Boston Celtics
191,4,16-11-2024 19:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,99,104,Los Angeles Lakers
